ID,Caption
ImageCLEFmedical_Caption_2026_valid_0,"MRI of the brain, showing a clear view of the cerebral cortex and the internal structures."
ImageCLEFmedical_Caption_2026_valid_1,Axial T2-weighted MRI of the brain showing symmetric hyperintensity in the white matter.
ImageCLEFmedical_Caption_2026_valid_2,"Sagittal MRI of the lumbar spine, showing a possible lesion extending from the L2 level to the conus."
ImageCLEFmedical_Caption_2026_valid_3,Post-operative anteroposterior radiograph of the pelvis showing a total hip replacement.
ImageCLEFmedical_Caption_2026_valid_4,Postoperative anteroposterior pelvic radiograph showing a right total hip arthroplasty (THA) with a titanium femoral stem and a ceramic-on-polyethylene bearing. The left femur appears to be intramedullary nailed.
ImageCLEFmedical_Caption_2026_valid_5,Pelvis anteroposterior radiograph displaying a left posterior wall fracture with concentric reduction of both hips.
ImageCLEFmedical_Caption_2026_valid_6,Post-operative X-ray of the shoulder with screws in place.
ImageCLEFmedical_Caption_2026_valid_7,Pelvis with both hip AP radiograph.
ImageCLEFmedical_Caption_2026_valid_8,Anteroposterior radiograph of the hip showing a cemented dual mobility socket total hip arthroplasty.
ImageCLEFmedical_Caption_2026_valid_9,"Post-operative radiograph of the right hip, showing hardware and signs of previous surgical intervention."
ImageCLEFmedical_Caption_2026_valid_10,Hip X-ray showing hardware fixation.
ImageCLEFmedical_Caption_2026_valid_11,Post-operative radiograph of the hip.
ImageCLEFmedical_Caption_2026_valid_12,"MRI image of the knee showing the proximal, distal, and middle regions of interest (ROI) of the intra-articular graft and the location of the quadriceps tendon. The Insall-Salvati index is 1.18."
ImageCLEFmedical_Caption_2026_valid_13,"Sagittal MRI of the right knee showing the proximal, distal, and middle regions of interest (ROI) of the intra-articular graft, and the location of the quadriceps tendon."
ImageCLEFmedical_Caption_2026_valid_14,Sagittal MRI showing a posterior cruciate ligament (PCL) tear with a residual femoral stump (arrow) and joint effusion (wide arrows).
ImageCLEFmedical_Caption_2026_valid_15,"CT image of the chest showing a cystic lesion in the mediastinum, potentially a hydatid cyst."
ImageCLEFmedical_Caption_2026_valid_16,"A CT scan of the skull shows a lesion in the left temporal region, likely a bone fragment, with surrounding soft tissue edema."
ImageCLEFmedical_Caption_2026_valid_17,"A CT scan shows a mass within the skull cavity, indicated by the arrow."
ImageCLEFmedical_Caption_2026_valid_18,"Ultrasound showing a possible stone in the gallbladder, indicated by the yellow arrow."
ImageCLEFmedical_Caption_2026_valid_19,"Abdominal CT showing a possible abscess, likely related to a previous hernia repair, with a synthetic mesh present."
ImageCLEFmedical_Caption_2026_valid_20,Chest X-ray.
ImageCLEFmedical_Caption_2026_valid_21,"A radiopaque lesion is present in the mandibular region, likely within the submandibular gland."
ImageCLEFmedical_Caption_2026_valid_22,Transabdominal ultrasound showing the left horn of the uterus at 22 weeks gestation.
