"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Brain MRI demonstrating pituitary enlargement with subtle suprasellar extension."
"ImageCLEFmedical_Caption_2026_valid_1","Axial FLAIR MRI brain showing symmetrical hyperintensity in the periventricular white matter, consistent with diffuse white matter disease."
"ImageCLEFmedical_Caption_2026_valid_2","MRI of the lumbar spine demonstrating epidural lesion extending from L1 to L2 level."
"ImageCLEFmedical_Caption_2026_valid_3","Post-operative AP pelvis radiograph showing a total hip replacement with a yellow arrow indicating a potential implant-related issue or area of interest."
"ImageCLEFmedical_Caption_2026_valid_4","AP pelvis radiograph showing bilateral total hip arthroplasty with femoral stems (arrows)."
"ImageCLEFmedical_Caption_2026_valid_5","Pelvic X-ray showing left hip dislocation with posterior wall fracture and concentric reduction."
"ImageCLEFmedical_Caption_2026_valid_6","Post-operative X-ray showing surgical fixation with screws and plate."
"ImageCLEFmedical_Caption_2026_valid_7","AP pelvis radiograph showing hip fixation with screws and rod post-surgical intervention."
"ImageCLEFmedical_Caption_2026_valid_8","Anteroposterior radiograph showing a total hip replacement with a cemented stem and a dual mobility head."
"ImageCLEFmedical_Caption_2026_valid_9","Postoperative pelvic radiograph showing three screws in the right hip, indicating recent surgical intervention for hip dysplasia or osteoarthritis."
"ImageCLEFmedical_Caption_2026_valid_10","Follow-up radiograph 6 months postoperatively showing hip replacement with fixation screws."
"ImageCLEFmedical_Caption_2026_valid_11","Follow-up radiograph showing pelvic fixation with screws and implant."
"ImageCLEFmedical_Caption_2026_valid_12","MRI of the knee joint showing measured distances: A (13.96 mm), B (9.64 mm), and C (11.47 mm) along anatomical landmarks."
"ImageCLEFmedical_Caption_2026_valid_13","Sagittal MRI of the knee showing measured distances (D: 9.16mm, E: 6.26mm, F: 8.52mm) across key anatomical regions."
"ImageCLEFmedical_Caption_2026_valid_14","Sagittal MRI with fat suppression demonstrating a small intra-articular hyperintense lesion adjacent to the posterior cruciate ligament (arrow)."
"ImageCLEFmedical_Caption_2026_valid_15","Contrast-enhanced CT scan showing a cystic lesion in the left thoracic wall, located in the 2nd intercostal space (arrow)."
"ImageCLEFmedical_Caption_2026_valid_16","CT scan showing a focal area of skull fracture with associated bone fragment displacement, indicated by the red arrow."
"ImageCLEFmedical_Caption_2026_valid_17","CT scan showing a thoracic cross-section with a red arrow indicating a localized area of abnormal density within the mediastinum."
"ImageCLEFmedical_Caption_2026_valid_18","Ultrasound image showing gallbladder with echogenic foci and wall thickening, indicative of cholecystitis."
"ImageCLEFmedical_Caption_2026_valid_19","Axial CT scan of the abdomen showing a focal area of increased density within the intestinal region, indicative of a potential inflammatory or infectious lesion."
"ImageCLEFmedical_Caption_2026_valid_20","Posteroanterior chest radiograph revealing bilateral pulmonary opacities with preserved cardiac silhouette and no evident pleural effusion."
"ImageCLEFmedical_Caption_2026_valid_21","A computed tomography scan showing a radiopaque lesion (arrow) within the mandibular arch."
"ImageCLEFmedical_Caption_2026_valid_22","Color Doppler ultrasound showing a vascular structure with bidirectional flow, likely a fetal umbilical vessel or placental vessel, within the central abdominal region."
"ImageCLEFmedical_Caption_2026_valid_23","Cervical spine radiograph with labeled vertebral levels (C1–C7) and geometric markers for sagittal plane analysis, including angles and distances used to assess cervical lordosis and alignment."
"ImageCLEFmedical_Caption_2026_valid_24","Periapical radiograph showing significant bone resorption around the root apex of tooth 11."
"ImageCLEFmedical_Caption_2026_valid_25","Coronal T1-weighted MRI with contrast; arrow indicates a well-defined, moderately enhancing lesion in the right orbital region, consistent with orbital inflammation or tumor."
"ImageCLEFmedical_Caption_2026_valid_26","B-ultrasound scan showing a hypoechoic, well-circumscribed lesion in the posterior segment, with a black arrow indicating the area of interest."
"ImageCLEFmedical_Caption_2026_valid_27","Ultrasound image depicting a hypoechoic, well-circumscribed lesion in the pelvic region, with measurement markers indicating dimensions of 7.9 mm and 4.2 mm."
"ImageCLEFmedical_Caption_2026_valid_28","Axial CT abdomen revealing a dilated and air-filled loop of small intestine with surrounding fat stranding, suggestive of bowel obstruction or volvulus."
"ImageCLEFmedical_Caption_2026_valid_29","Color Doppler ultrasound showing abnormal blood flow patterns in the pelvic region, with prominent red and blue signal areas indicating vascular activity."
"ImageCLEFmedical_Caption_2026_valid_30","Chest X-ray revealing a large, well-defined, circular opacity in the right upper lung field, consistent with a cavitary lesion."
"ImageCLEFmedical_Caption_2026_valid_31","CT-PET scan revealing hypermetabolic lesions in the retroperitoneal region with associated lymphadenopathy in the para-aortic and mesenteric areas."
"ImageCLEFmedical_Caption_2026_valid_32","Chest X-ray: symmetric lung fields with preserved cardiac silhouette and no evident infiltrates or pneumothorax."
"ImageCLEFmedical_Caption_2026_valid_33","Transthoracic echocardiogram demonstrating mitral regurgitation with color Doppler flow (blue arrow) and aortic regurgitation (red arrow)."
"ImageCLEFmedical_Caption_2026_valid_34","CT scan of the chest revealing a mediastinal mass with associated airway compression and partial obstruction."
"ImageCLEFmedical_Caption_2026_valid_35","Axial noncontrast CT of the brain showing a small, well-circumscribed hypodense lesion in the left parietal region (red circle), consistent with a cerebral cyst or early ischemic change. No midline shift or hydrocephalus."
"ImageCLEFmedical_Caption_2026_valid_36","CT head showing right cerebellar region with focal hypodensity and surrounding edema, consistent with infarct or hemorrhagic lesion."
"ImageCLEFmedical_Caption_2026_valid_37","Chest X-ray showing diffuse bilateral opacities with predominance in the lower lung zones, consistent with widespread pulmonary infiltrates."
"ImageCLEFmedical_Caption_2026_valid_38","Ultrasound image highlighting a hypoechoic mass (yellow arrow) within the renal parenchyma, adjacent to a dilated renal pelvis (red arrow), with a parallel structure (blue arrow) indicating possible anatomical or pathological association."
"ImageCLEFmedical_Caption_2026_valid_39","Transvaginal ultrasound image showing a well-defined, unilocular ovarian cyst with smooth walls and homogeneous fluid content, measuring approximately 12.0 cm, in a 49-year-old woman."
"ImageCLEFmedical_Caption_2026_valid_40","T2-weighted axial MRI showing a well-defined, heterogeneous lesion in the parotid gland region (arrow), with mixed signal intensity and distinct from surrounding structures."
"ImageCLEFmedical_Caption_2026_valid_41","CT scan revealing a right parotid gland lesion with heterogeneous attenuation."
"ImageCLEFmedical_Caption_2026_valid_42","Abdominal X-ray showing a large, well-defined air-filled structure in the upper abdomen, consistent with a dilated bowel loop."
"ImageCLEFmedical_Caption_2026_valid_43","Radiographic image showing a contrast-enhanced procedure with a guidewire and two large radiopaque devices, likely for biliary or pancreatic ductal intervention."
"ImageCLEFmedical_Caption_2026_valid_44","Chest CT scan showing bilateral pulmonary opacities with greater involvement in the right lung (yellow) compared to the left (blue), consistent with ground-glass attenuation."
"ImageCLEFmedical_Caption_2026_valid_45","CT abdomen revealing significant bowel wall thickening and surrounding inflammatory changes suggestive of acute diverticulitis."
"ImageCLEFmedical_Caption_2026_valid_46","Coronal CT scan revealing dilated small bowel loops with wall thickening and pneumatosis, indicative of ischemic change."
"ImageCLEFmedical_Caption_2026_valid_47","Radiograph showing femoral implant alignment with sagittal angle measurement (α) relative to the femoral shaft axis."
"ImageCLEFmedical_Caption_2026_valid_48","KUB radiograph demonstrating a JJ stent in situ following ureteral intervention."
