"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","MRI image of case 2"
"ImageCLEFmedical_Caption_2026_valid_1","Axial MRI showing thickened leptomeninges"
"ImageCLEFmedical_Caption_2026_valid_2","Preoperative MRI scan of the lumbar spine showing spinal epidural hematoma causing compression of the left L5 nerve root (arrow)."
"ImageCLEFmedical_Caption_2026_valid_3","Preoperative X-ray showing the fracture and destruction of the proximal femur and acetabulum. Arrow pointing at the fracture"
"ImageCLEFmedical_Caption_2026_valid_4","Radiographs demonstrating bony erosion."
"ImageCLEFmedical_Caption_2026_valid_5","Patient's preoperative anteroposterior X-ray radiograph of the pelvis showing displaced fracture of the left femoral neck"
"ImageCLEFmedical_Caption_2026_valid_6","Postoperative radiograph showing reduction and fixation of the dislocated proximal humerus."
"ImageCLEFmedical_Caption_2026_valid_7","Antero posterior pelvic radiograph demonstrating fracture fixation"
"ImageCLEFmedical_Caption_2026_valid_8","Preoperative X-ray demonstrating right hip dislocation"
"ImageCLEFmedical_Caption_2026_valid_9","Radiograph of the right hip taken at 1 year postoperatively."
"ImageCLEFmedical_Caption_2026_valid_10","Proximal femur radiograph demonstrating osseous union"
"ImageCLEFmedical_Caption_2026_valid_11","Post-operative radiograph"
"ImageCLEFmedical_Caption_2026_valid_12","MRI scan revealing a bone cyst measuring 13.96 × 9.47 mm on the medial tibial plateau"
"ImageCLEFmedical_Caption_2026_valid_13","MRI of right knee showing a destructive lesion in the medial tibial plateau."
"ImageCLEFmedical_Caption_2026_valid_14","MRI scan showing bilateral anterior ankle instability."
"ImageCLEFmedical_Caption_2026_valid_15","Right pleural effusion"
"ImageCLEFmedical_Caption_2026_valid_16","Axial view of CT scan of abdomen showing a well-defined cystic lesion in the right upper quadrant of abdomen measuring 4.2 × 3.9 × 3.3 cm (red arrow)"
"ImageCLEFmedical_Caption_2026_valid_17","CT scan showing a tumor in the retroperitoneal space"
"ImageCLEFmedical_Caption_2026_valid_18","Abdominal ultrasound image showing gallstone in gallbladder lumen"
"ImageCLEFmedical_Caption_2026_valid_19","CT scan showing an axial view of the peritoneal carcinomatosis"
"ImageCLEFmedical_Caption_2026_valid_20","Chest x ray showing dextrocardia."
"ImageCLEFmedical_Caption_2026_valid_21","Axial computed tomography scan of the mandible demonstrates a bony expansile lesion (red arrow) extending from tooth # 36 to tooth # 46."
"ImageCLEFmedical_Caption_2026_valid_22","Color Doppler ultrasound image showing flow in the IVC"
"ImageCLEFmedical_Caption_2026_valid_23","Anterior posterior radiograph"
"ImageCLEFmedical_Caption_2026_valid_24","Preoperative radiograph showing the lesion"
"ImageCLEFmedical_Caption_2026_valid_25","MRI Brain showing enhancing lesion in the left temporal lobe"
"ImageCLEFmedical_Caption_2026_valid_26","Transverse ultrasound image. Transverse ultrasound image showing the presence of cystic lesions in the left EAC (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_27","Ultrasound image showing a dilated common bile duct"
"ImageCLEFmedical_Caption_2026_valid_28","Axial CT scan shows luminal obstruction in terminal ileum"
"ImageCLEFmedical_Caption_2026_valid_29","Transverse US image of the right spermatic cord demonstrates a tubular hypoechoic lesion (arrow) within the right spermatic cord measuring 1.3cm x 0.8cm x 0.7cm."
"ImageCLEFmedical_Caption_2026_valid_30","A chest radiograph demonstrating a large pneumothorax on the left."
"ImageCLEFmedical_Caption_2026_valid_31","PET/CT scan demonstrating hypermetabolic activity in the pancreatic region"
"ImageCLEFmedical_Caption_2026_valid_32","Chest X-ray showing cardiomegaly"
"ImageCLEFmedical_Caption_2026_valid_33","Echocardiogram image showing severe aortic stenosis and mitral regurgitation. Red arrow indicates aortic stenosis; blue arrow indicates mitral regurgitation"
"ImageCLEFmedical_Caption_2026_valid_34","Chest CT scan demonstrating pleural effusion"
"ImageCLEFmedical_Caption_2026_valid_35","MRI scan showing meningioma."
"ImageCLEFmedical_Caption_2026_valid_36","Cranial computed tomography scan showing intracranial hemorrhage"
"ImageCLEFmedical_Caption_2026_valid_37","Chest radiograph demonstrating diffuse infiltrates bilaterally"
"ImageCLEFmedical_Caption_2026_valid_38","Left renal ultrasound showing an incidental, small kidney cyst."
"ImageCLEFmedical_Caption_2026_valid_39","Transvaginal ultrasound showing cystic mass"
"ImageCLEFmedical_Caption_2026_valid_40","Axial CT image demonstrating extensive subcutaneous emphysema"
"ImageCLEFmedical_Caption_2026_valid_41","Axial postcontrast computed tomography showing an enhancing lesion on the left temporomandibular joint"
"ImageCLEFmedical_Caption_2026_valid_42","Plain abdominal film revealing free air under the diaphragm"
"ImageCLEFmedical_Caption_2026_valid_43","The radiograph shows the port catheter tip (arrowheads)."
"ImageCLEFmedical_Caption_2026_valid_44","Contrast enhanced computed tomography demonstrating bilateral pleural effusion."
"ImageCLEFmedical_Caption_2026_valid_45","Contrast-enhanced CT scan demonstrating herniation of ileum (arrowheads)"
"ImageCLEFmedical_Caption_2026_valid_46","CT scan showing massive intestinal obstruction"
"ImageCLEFmedical_Caption_2026_valid_47","Lateral radiograph of right knee"
"ImageCLEFmedical_Caption_2026_valid_48","Abdominal X-ray showing the catheter placed in the bladder"
"ImageCLEFmedical_Caption_2026_valid_49","CT scan of the thorax showing a 3 cm lobulated density in the posterior mediastinum"
"ImageCLEFmedical_Caption_2026_valid_50","Radiograph of patient's chest"
"ImageCLEFmedical_Caption_2026_valid_51","Chest X-Ray Demonstrating Pulmonary Edema"
"ImageCLEFmedical_Caption_2026_valid_52","Thoracoabdominal situs inversus"
"ImageCLEFmedical_Caption_2026_valid_53","Transthoracic echocardiogram demonstrating vegetation on mitral valve"
"ImageCLEFmedical_Caption_2026_valid_54","Chest radiograph showing enlarged cardiac silhouette"
"ImageCLEFmedical_Caption_2026_valid_55","Apical Long Axis View Showing Thrombus in Left Ventricular Apex"
"ImageCLEFmedical_Caption_2026_valid_56","MRI scan showing cystic mass (arrows)"
"ImageCLEFmedical_Caption_2026_valid_57","Axial MRI image showing cystic mass within the left adnexa."
"ImageCLEFmedical_Caption_2026_valid_58","Postoperative X-ray demonstrating the position of the intracerebral foreign body (arrow)."
"ImageCLEFmedical_Caption_2026_valid_59","An axial CT scan image revealing the presence of a mass lesion in the left paracardial region (arrows)."
"ImageCLEFmedical_Caption_2026_valid_60","Radiographic examination showing osteomyelitis of the left femur."
"ImageCLEFmedical_Caption_2026_valid_61","Preoperative radiographic image of the mandible"
"ImageCLEFmedical_Caption_2026_valid_62","Thoracic radiograph showing diffuse osteoblastic lesions."
"ImageCLEFmedical_Caption_2026_valid_63","Final result of the measurements"
"ImageCLEFmedical_Caption_2026_valid_64","Transverse plane of the CVC. The catheter tip is located within the right jugular vein (white arrows)."
"ImageCLEFmedical_Caption_2026_valid_65","Radiographic image of the mandible."
"ImageCLEFmedical_Caption_2026_valid_66","Axial CT image demonstrating the aortic dissection of Stanford Type A. White arrow: Left descending thoracic aorta. Red arrow: Left subclavian artery."
"ImageCLEFmedical_Caption_2026_valid_67","A 19 year old male presented with congestive heart failure due to tetralogy of Fallot, a congenital heart defect. Cine cardiac MRI (CMR) T1 weighted sequence demonstrates hypoplasia of the right ventricle (RV) (arrow)."
"ImageCLEFmedical_Caption_2026_valid_68","MRI image of the patient on day 10 of life. The image demonstrates the presence of a hyperintense mass (arrow) on T2-weighted sequence in the anterior part of the brain, suggestive of hemorrhagic transformation"
"ImageCLEFmedical_Caption_2026_valid_69","Axial view of the thoracic CT scan showing pneumomediastinum (black arrows), subcutaneous emphysema (arrowheads), and pneumothorax."
"ImageCLEFmedical_Caption_2026_valid_70","Chest X-ray"
"ImageCLEFmedical_Caption_2026_valid_71","Contrast-enhanced computed tomography scan of the chest demonstrating a pulmonary abscess"
"ImageCLEFmedical_Caption_2026_valid_72","Abdominal computed tomography scan showing the bullet in the bladder"
"ImageCLEFmedical_Caption_2026_valid_73","Intravenous urography demonstrating bilateral ureteral obstruction"
"ImageCLEFmedical_Caption_2026_valid_74","Trans-axial CT image showing a bullet in the bladder (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_75","A transabdominal ultrasound showed a dilated gallbladder. The gallbladder wall was thickened (white arrow), and cholecystitis was suspected"
"ImageCLEFmedical_Caption_2026_valid_76","Left lower extremity arteriogram showing filling defect of popliteal artery (arrow)"
"ImageCLEFmedical_Caption_2026_valid_77","Fluoroscopic image of the catheter traversing the abdominal aorta"
"ImageCLEFmedical_Caption_2026_valid_78","Plain abdominal radiograph showing the self-expanding covered metal stent (arrow)."
"ImageCLEFmedical_Caption_2026_valid_79","Contrast CT scan showing gastric volvulus and herniated small intestine (A: stomach; B: duodenum; C: small intestine)"
"ImageCLEFmedical_Caption_2026_valid_80","Abdominal X-ray showing a contrast-filled appendix."
"ImageCLEFmedical_Caption_2026_valid_81","Axial computed tomography image demonstrating a large hematoma along the left lateral chest wall"
"ImageCLEFmedical_Caption_2026_valid_82","Axial view of hematoma measuring 144 x 139mm"
"ImageCLEFmedical_Caption_2026_valid_83","Axial view of the chest CT showing pulmonary thromboembolism (arrow)"
"ImageCLEFmedical_Caption_2026_valid_84","Color Doppler Ultrasound - Renal vein thrombosis"
"ImageCLEFmedical_Caption_2026_valid_85","CT scan showing the lesion (arrowheads)"
"ImageCLEFmedical_Caption_2026_valid_86","CT scan showing heterogeneous mass in the left paraspinal region"
"ImageCLEFmedical_Caption_2026_valid_87","Image of the abdominal mass. Image of the abdominal mass (arrowheads)"
"ImageCLEFmedical_Caption_2026_valid_88","MRI scan of the patient.Axial T1 weighted MRI scan showing extensive thrombosis involving the left brachiocephalic vein (white arrow) and left axillary vein (arrowhead)."
"ImageCLEFmedical_Caption_2026_valid_89","MRI scan.Axial view of MRI scan of the patient's thorax showing hypodense lesions (arrow) in the subcutaneous layer along with subcutaneous emphysema (arrowhead)"
"ImageCLEFmedical_Caption_2026_valid_90","MRI spine showing compression fracture at Th1"
"ImageCLEFmedical_Caption_2026_valid_91","Right eye OCT showing subretinal hemorrhage"
