"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Brain MRI sagittal T1 weighted image showing the absence of the vermis"
"ImageCLEFmedical_Caption_2026_valid_1","Axial magnetic resonance image with contrast showing diffuse enhancement of the cerebral hemispheres and bilateral occipital horns."
"ImageCLEFmedical_Caption_2026_valid_2","Lumbar spine MRI shows high-intensity signal on T2-weighted image (arrow)"
"ImageCLEFmedical_Caption_2026_valid_3","Preoperative radiograph. The yellow arrow shows the left femur, with a large amount of new bone formation."
"ImageCLEFmedical_Caption_2026_valid_4","Pelvis radiograph showing bilateral displaced femoral neck fractures (yellow arrows)"
"ImageCLEFmedical_Caption_2026_valid_5","Anteroposterior X-ray hip joint."
"ImageCLEFmedical_Caption_2026_valid_6","A lateral radiograph of the left hip demonstrating placement of two screws in the femoral neck."
"ImageCLEFmedical_Caption_2026_valid_7","AP pelvis with both hips.AP: anteroposterior"
"ImageCLEFmedical_Caption_2026_valid_8","Postoperative X-ray of right hip joint."
"ImageCLEFmedical_Caption_2026_valid_9","Postoperative right hip X-ray"
"ImageCLEFmedical_Caption_2026_valid_10","AP X-ray pelvis showing left femoral neck fracture. AP: anteroposterior"
"ImageCLEFmedical_Caption_2026_valid_11","Anteroposterior radiograph of the pelvis obtained at 13 months postoperatively."
"ImageCLEFmedical_Caption_2026_valid_12","MRI of the left knee in the sagittal plane."
"ImageCLEFmedical_Caption_2026_valid_13","Sagittal view of the patella."
"ImageCLEFmedical_Caption_2026_valid_14","MRI of the left knee in sagittal (A) and axial (B) views showing a bucket handle tear of the MCL (white arrows)."
"ImageCLEFmedical_Caption_2026_valid_15","Axial CT scan image."
"ImageCLEFmedical_Caption_2026_valid_16","Transverse CT-scan of the ventral keel of a 10-week-old male foal with a soft tissue swelling of the ventrolateral body of the keel (arrow)."
"ImageCLEFmedical_Caption_2026_valid_17","Computed tomography image of a rabbit brain. The arrow shows the lesion in the brain."
"ImageCLEFmedical_Caption_2026_valid_18","Abdominal ultrasound image of the gallbladder."
"ImageCLEFmedical_Caption_2026_valid_19","Axial CT abdomen and pelvis with contrast showing a 6.9 cm mass (blue arrow) with adjacent soft tissue stranding."
"ImageCLEFmedical_Caption_2026_valid_20","Chest X-ray showing left-sided pleural effusion."
