"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","MRI scan of brain showing normal anatomy"
"ImageCLEFmedical_Caption_2026_valid_1","Normal axial brain image"
"ImageCLEFmedical_Caption_2026_valid_2","Lumbar MRI"
"ImageCLEFmedical_Caption_2026_valid_3","Radiograph showing dislocation of the prosthesis"
"ImageCLEFmedical_Caption_2026_valid_4","Pelvic radiograph showing bilateral femoral osteonecrosis"
"ImageCLEFmedical_Caption_2026_valid_5","Antero-posterior radiograph of pelvis revealing dislocation of left hip with posterior wall fracture"
"ImageCLEFmedical_Caption_2026_valid_6","Postoperative radiograph"
"ImageCLEFmedical_Caption_2026_valid_7","Radiograph showing the left hip arthrodesis"
"ImageCLEFmedical_Caption_2026_valid_8","Hip X-ray anteroposterior view"
"ImageCLEFmedical_Caption_2026_valid_9","Left hip joint space narrowing"
"ImageCLEFmedical_Caption_2026_valid_10","Postoperative anteroposterior radiograph of the pelvis"
"ImageCLEFmedical_Caption_2026_valid_11","Radiograph of left hip post-reduction arthroscopy"
"ImageCLEFmedical_Caption_2026_valid_12","Measurement of Insall-Salvati index"
"ImageCLEFmedical_Caption_2026_valid_13","MRI sagittal view of the lesion"
"ImageCLEFmedical_Caption_2026_valid_14","Sagital T2 sequence showing intraarticular ganglion cyst compressing popliteal artery"
"ImageCLEFmedical_Caption_2026_valid_15","CT scan showing pneumoperitoneum"
"ImageCLEFmedical_Caption_2026_valid_16","CT scan of the brain"
"ImageCLEFmedical_Caption_2026_valid_17","CT scan showing pneumoperitoneum"
"ImageCLEFmedical_Caption_2026_valid_18","Gallbladder sludge"
"ImageCLEFmedical_Caption_2026_valid_19","CT scan showing appendicitis"
"ImageCLEFmedical_Caption_2026_valid_20","Resolution of right lower lobe consolidation"
"ImageCLEFmedical_Caption_2026_valid_21","A radiopacity (arrow) may be located in the deep lobe of the parotid gland, the uncinate processs of the submandibular gland or in the palatine tonsil."
"ImageCLEFmedical_Caption_2026_valid_22","Aortic Doppler color flow study indicating severe stenosis"
"ImageCLEFmedical_Caption_2026_valid_23","Measuring flexion and extension of cervical spine"
"ImageCLEFmedical_Caption_2026_valid_24","Radiographical examination"
