"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Sagittal MRI of the brain showing the cerebral spinal fluid (CSF) and the brain."
"ImageCLEFmedical_Caption_2026_valid_1","MRI of the brain showing a small focus of hyperintensity in the periventricular white matter, suggestive of a small infarct."
"ImageCLEFmedical_Caption_2026_valid_2","Sagittal MRI of the lumbar spine showing a large disc herniation at L4-L5, with compression of the thecal sac and nerve root."
"ImageCLEFmedical_Caption_2026_valid_3","Hip replacement with pinhole fracture in the prosthesis (arrow)."
"ImageCLEFmedical_Caption_2026_valid_4","Hip replacement (arthroplasty) with prosthetic components visible in both hips."
"ImageCLEFmedical_Caption_2026_valid_5","Anteroposterior view of the hip joint."
"ImageCLEFmedical_Caption_2026_valid_6","X-ray of the right shoulder showing screws in the humeral shaft."
"ImageCLEFmedical_Caption_2026_valid_7","Hip X-ray showing signs of prior surgery, including metal implants."
"ImageCLEFmedical_Caption_2026_valid_8","X-ray of the right hip showing a total hip replacement."
"ImageCLEFmedical_Caption_2026_valid_9","Hip X-ray showing a femoral nail and plate fixation."
"ImageCLEFmedical_Caption_2026_valid_10","Hip X-ray with fixation hardware."
"ImageCLEFmedical_Caption_2026_valid_11","Anteroposterior hip X-ray showing hardware in the left hip including a plate and screws."
"ImageCLEFmedical_Caption_2026_valid_12","MRI of the right knee. A small fluid collection is present in the medial gutter."
"ImageCLEFmedical_Caption_2026_valid_13","MRI scan of the knee showing the distal femur, proximal tibia, and a small soft tissue mass in the posterior knee region. The measurements of the distal femur, proximal tibia, and the soft tissue mass are also displayed."
"ImageCLEFmedical_Caption_2026_valid_14","T1-weighted MRI of the right knee. There is a focal signal abnormality within the medial meniscal tissue, indicated by the white arrow, which is suggestive of a meniscal tear."
"ImageCLEFmedical_Caption_2026_valid_15","CT scan of the chest showing a well-defined cystic mass in the left lung field."
"ImageCLEFmedical_Caption_2026_valid_16","Axial CT image showing a mass in the right lung."
"ImageCLEFmedical_Caption_2026_valid_17","Axial view of the skull showing a well-defined, round mass in the left maxillary sinus (arrow)."
"ImageCLEFmedical_Caption_2026_valid_18","Gallstones in the gallbladder."
"ImageCLEFmedical_Caption_2026_valid_19","Abdominal CT showing a suspected bowel obstruction."
"ImageCLEFmedical_Caption_2026_valid_20","Left-sided pleural effusion with a nodular opacity in the left lung."
"ImageCLEFmedical_Caption_2026_valid_21","Cone beam computed tomography (CBCT) of the mandible shows a radiopaque lesion in the left mandibular incisor."
"ImageCLEFmedical_Caption_2026_valid_22","Ultrasound image of a fetus in the womb."
"ImageCLEFmedical_Caption_2026_valid_23","Cervical spine X-ray showing cervical vertebral alignment."
"ImageCLEFmedical_Caption_2026_valid_24","Intact tooth structure with good definition of the enamel and dentin. No signs of decay or significant pathology are evident in this image."
"ImageCLEFmedical_Caption_2026_valid_25","MRI of the head showing a mass in the right eye."
"ImageCLEFmedical_Caption_2026_valid_26","Aortic dissection is present in the aorta."
"ImageCLEFmedical_Caption_2026_valid_27","Ultrasound image of the posterior aspect of the bladder. The arrow indicates a dilated, fluid-filled structure within the bladder, likely a cyst or diverticulum."
"ImageCLEFmedical_Caption_2026_valid_28","CT scan of the abdomen showing a retroperitoneal hematoma."
"ImageCLEFmedical_Caption_2026_valid_29","Abdominal ultrasound showing a large bowel wall thickening and increased vascularity, suggestive of inflammatory bowel disease or other inflammatory process. GE, gastro-esophageal junction."
"ImageCLEFmedical_Caption_2026_valid_30","Chest X-ray showing significant left-sided pleural effusion and atelectasis. The right lung appears relatively clear."
"ImageCLEFmedical_Caption_2026_valid_31","PET/CT showing areas of increased metabolic activity, likely representing inflammation or malignancy, in the liver, lungs, and mediastinum."
"ImageCLEFmedical_Caption_2026_valid_32","A chest X-ray showing the heart, lungs, and ribs. The heart appears to be slightly enlarged."
"ImageCLEFmedical_Caption_2026_valid_33","Transthoracic echocardiogram showing a large pericardial effusion with a possible loculated component. The effusion extends to the base of the heart. The arrows indicate the location of the fluid."
"ImageCLEFmedical_Caption_2026_valid_34","CT scan of the chest showing a large mediastinal mass, likely a thymoma, with significant compression of the trachea."
"ImageCLEFmedical_Caption_2026_valid_35","Axial CT scan of the brain showing a mass in the right frontal lobe."
"ImageCLEFmedical_Caption_2026_valid_36","CT scan of the head showing a lesion in the right cerebellum."
