"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Normal MRI"
"ImageCLEFmedical_Caption_2026_valid_1","Normal MRI brain"
"ImageCLEFmedical_Caption_2026_valid_2","Sagital T2 weighted MRI image demonstrating spinal canal stenosis"
"ImageCLEFmedical_Caption_2026_valid_3","Fracture of the left femur (denoted by arrow)"
"ImageCLEFmedical_Caption_2026_valid_4","Pelvis Radiograph Demonstrating Fracture Nonunion"
"ImageCLEFmedical_Caption_2026_valid_5","Fracture of the proximal femoral shaft"
"ImageCLEFmedical_Caption_2026_valid_6","Postoperative AP radiograph of the right shoulder demonstrating fixation"
"ImageCLEFmedical_Caption_2026_valid_7","Postoperative anteroposterior radiograph of the pelvis demonstrating fixation of the left hip fracture with a hemiarthroplasty. There is a transverse lucency in the proximal diaphysis region"
"ImageCLEFmedical_Caption_2026_valid_8","Postoperative AP radiograph of the pelvis showing excision of the mass along with bipolar hip replacement"
"ImageCLEFmedical_Caption_2026_valid_9","Postoperative anteroposterior radiograph of pelvis demonstrate satisfactory fixation of femoral neck fracture and no evidence of residual disease"
"ImageCLEFmedical_Caption_2026_valid_10","Postoperative anteroposterior pelvis radiograph Demonstrating satisfactory fixation"
"ImageCLEFmedical_Caption_2026_valid_11","Postoperative anteroposterior radiograph showing fixation"
"ImageCLEFmedical_Caption_2026_valid_12","Measurement of lesion dimensions"
"ImageCLEFmedical_Caption_2026_valid_13","MRI scan showing a bone lesion (red arrows) involving the medial tibial plateau. Measurements of lesion dimensions are illustrated."
"ImageCLEFmedical_Caption_2026_valid_14","Fat suppressed T2 weighted coronal image demonstrates hyperintense signal corresponding to the chondral cartilage defects (white arrows)."
"ImageCLEFmedical_Caption_2026_valid_15","Axial view of CT scan demonstrating the presence of free air (red arrow)"
"ImageCLEFmedical_Caption_2026_valid_16","CT scan showing diffuse pleural thickening, nodularity, and irregular pleural thickening along with pleural effusion"
"ImageCLEFmedical_Caption_2026_valid_17","CT scan revealing a right caudal displacement of the bladder (red arrow)"
"ImageCLEFmedical_Caption_2026_valid_18","Abdominal USG shows multiple calculi within gallbladder (yellow arrow). USG: ultrasonography; GB: Gallbladder"
"ImageCLEFmedical_Caption_2026_valid_19","CT Abdomen Revealing Mesenteric Pneumatosis Intestinalis"
"ImageCLEFmedical_Caption_2026_valid_20","Chest X Ray Showing Bilateral Pulmonary Infiltrations"
"ImageCLEFmedical_Caption_2026_valid_21","Pretreatment axial view showing a hypodense lesion in the mandibular molar region (red arrow)."
"ImageCLEFmedical_Caption_2026_valid_22","Color Doppler ultrasound showing fetal ascites"
