"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Cerebral MRI showing atrophy of the cerebellum as well as the cerebral cortex in the cerebellar hemispheres."
"ImageCLEFmedical_Caption_2026_valid_1","MRI of the brain showing normal findings"
"ImageCLEFmedical_Caption_2026_valid_2","Sagittal T2-weighted magnetic resonance imaging (MRI) of the lumbar spine. The arrow shows severe spinal stenosis at the L1-L2 level."
"ImageCLEFmedical_Caption_2026_valid_3","Postoperative X-ray image of the bilateral hip joint. The image shows the left hip with multiple cerclage wires (yellow arrow) and the right hip with a total hip replacement"
"ImageCLEFmedical_Caption_2026_valid_4","Postoperative X-ray of the pelvis shows periprosthetic fracture in the right femur and left femoral neck fracture"
"ImageCLEFmedical_Caption_2026_valid_5","Preoperative radiograph of the patient."
"ImageCLEFmedical_Caption_2026_valid_6","Intraoperative fluoroscopic image of left hip - anteroposterior view."
"ImageCLEFmedical_Caption_2026_valid_7","Anteroposterior (AP) X-ray of the pelvis with both hips at 12 months follow-up. The image showed a stable left hip without any evidence of loosening of rivets or implant failure."
"ImageCLEFmedical_Caption_2026_valid_8","Postoperative hip x-ray"
"ImageCLEFmedical_Caption_2026_valid_9","Postoperative X-rays of the patient after two years of surgery with good signs of healing"
"ImageCLEFmedical_Caption_2026_valid_10","Anteroposterior radiograph of a patient who sustained an unstable pertrochanteric fracture. The fracture was treated with cerclage cables and the patient was non-operative at follow-up."
"ImageCLEFmedical_Caption_2026_valid_11","Postoperative radiograph showing the area of resection and reconstruction"
"ImageCLEFmedical_Caption_2026_valid_12","The sagittal images from the MRI show the measurement of the lateral tibial plateau articular cartilage. A: depth of the cartilage defect (mm); B: width of the cartilage defect (mm); C: length of the cartilage defect (mm)."
"ImageCLEFmedical_Caption_2026_valid_13","Sagittal image of the left knee.The tibial tubercle and the subchondral bone surfaces were measured. D: height of tibial tubercle; F: height of subchondral bone surface; E: width of tibial tubercle."
"ImageCLEFmedical_Caption_2026_valid_14","Preoperative MRI T2 Fat Saturated - Axial (A) and Sagittal (B) views showing a bucket handle tear of the medial meniscus."
"ImageCLEFmedical_Caption_2026_valid_15","Transverse plane CT image of the thorax, soft tissue algorithm. The right four‐chambered cardiac structure (red arrow)"
"ImageCLEFmedical_Caption_2026_valid_16","Axial CT image (bone window) of the skull of an intact guinea pig following a road traffic accident. The skull was fixed to the body using strong water-soluble non-ionic CM cast. The image shows a large defect in the left side of the skull (arrow). The entire left hemis skull was attached to the body using a single, non-compliant, water-soluble CM cast. The CT study was performed 24 h post-injury. CM, cement."
"ImageCLEFmedical_Caption_2026_valid_17","Transverse CT slice of the cranium of SK162 showing the characteristic 'hair on end' pattern of the bone marrow (red arrow)."
"ImageCLEFmedical_Caption_2026_valid_18","Gallbladder Ultrasound Showing Gallstones With TIPsUltrasonographic image of the gallbladder (GB) with multiple echogenic gallstones (arrow) and cholecystolithiasis with shadowing. These represent stones within stones. Also known as gallstones with shadowing, these are often seen in the gallbladder lumen."
"ImageCLEFmedical_Caption_2026_valid_19","CT scan showing dilated loops of small bowel and transition point (arrow)"
"ImageCLEFmedical_Caption_2026_valid_20","Chest X-ray showing left pleural effusion."
"ImageCLEFmedical_Caption_2026_valid_21","(a) CBCT image (Dental arch) shows DBIs (see arrow) in the left mandibular arch of patient 3. The DBIs are marked in red on CBCT image (see also Supplementary video S2 (DBIs in CBCT) [15]). (b) Panoramic radiograph shows DBIs (see arrow) in the left mandibular arch of patient 3. The DBIs are marked in red on the panoramic radiograph (see also Supplementary video S3 (DBIs in panoramic radiograph) [15])."
"ImageCLEFmedical_Caption_2026_valid_22","The umbilical cord insertion at the placental edge: a type of abnormal placental edge insertion."
"ImageCLEFmedical_Caption_2026_valid_23","Measurements on lateral radiograph of the neck. AB, the occipito-mental line; AC, the line from C1 to the most lateral point of the anterior arch of C7; AD, the anterior-inferior arc of C7; CD, the posterior tangent to the anterior surface of C2; EF, the needle path. a, the distance from AC to CD; b, the distance from CD to AD; c, the distance from AD to EF; d, the distance from EF to the most lateral point of the inferior surface of C7. x, the distance from the point of the intersection of the occipito-mental line (AB) and the anterior surface of the first rib (A), to the point of the intersection of the occipito-mental line (AB) and the posterior surface of the C7; y, the distance between the point of the intersection of the occipito-mental line (AB) and the posterior surface of the C7 and the midpoint of the lower end of the C7."
"ImageCLEFmedical_Caption_2026_valid_24","Postoperative X‐ray"
"ImageCLEFmedical_Caption_2026_valid_25","MRI of the brain (coronal section) showing a cystic lesion in the left temporal lobe. MRI: magnetic resonance imaging"
"ImageCLEFmedical_Caption_2026_valid_26","B scan ultrasound of the left eye showing retinal detachment with a high-echo complex (black arrow)"
"ImageCLEFmedical_Caption_2026_valid_27","Ultrasonographic image of a 41.5-year-old woman with mature cystic teratoma. A heterogeneous mass with internally echoes is observed. A small area of calcification (white arrows) is observed inside the mass. The mass is diagnosed as a benign mass by imaging features"
"ImageCLEFmedical_Caption_2026_valid_28","CT scan showing the intussuscepted jejunal segment."
"ImageCLEFmedical_Caption_2026_valid_29","Thrombi in the right atrium appendage"
"ImageCLEFmedical_Caption_2026_valid_30","X-ray chest showing left-sided bronchopneumonia"
"ImageCLEFmedical_Caption_2026_valid_31","PET/CT scan of the abdomen showing no abnormal findings in the liver"
"ImageCLEFmedical_Caption_2026_valid_32","Chest radiograph demonstrating dextrocardia."
"ImageCLEFmedical_Caption_2026_valid_33","Transthoracic echocardiogram with Doppler study. Red arrow pointing to the left ventricular thrombus and blue arrow pointing to the mitral valve leaflet."
"ImageCLEFmedical_Caption_2026_valid_34","CT scan of the chest in 2012."
"ImageCLEFmedical_Caption_2026_valid_35","Left frontal lobe hemorrhage (1.8 mm) on CT head without contrast"
"ImageCLEFmedical_Caption_2026_valid_36","CT Brain showing the area of infarct in the right posterior cerebral artery territory."
"ImageCLEFmedical_Caption_2026_valid_37","First chest xray image showing bilateral pulmonary infiltrates"
"ImageCLEFmedical_Caption_2026_valid_38","Transverse ocular B-scan (blue arrow) in a normal eye showing the retinal layers (red line), the choroid (yellow line) and the sclera (white line)"
"ImageCLEFmedical_Caption_2026_valid_39","The pelvic ultrasound revealed a 9315mm cystic mass with uneven internal echo in the pelvic cavity."
"ImageCLEFmedical_Caption_2026_valid_40","MRI showing a small to moderately-sized tumor (black circle) located superficially to the parotid gland (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_41","Computed tomography (CT) images showing an enhancing mass in the left parotid gland (arrow)."
"ImageCLEFmedical_Caption_2026_valid_42","Preoperative abdominal X-ray, which did not show significant gas patterns"
"ImageCLEFmedical_Caption_2026_valid_43","The figure shows cholangiography with an arrow indicating the occlusion of the cystic duct."
"ImageCLEFmedical_Caption_2026_valid_44","Example of delineations for the right- and left-side pleural line (blue) and alveolar atelectasis (yellow)."
"ImageCLEFmedical_Caption_2026_valid_45","Abdominal CT scan showing no evidence of mass."
"ImageCLEFmedical_Caption_2026_valid_46","CT scan showing dilated small bowels and loops of colon"
"ImageCLEFmedical_Caption_2026_valid_47","The tibial component sagittal orientation angle (A) is defined as the angle between the mechanical axis of the tibia and a vertical line drawn through the tibial component."
"ImageCLEFmedical_Caption_2026_valid_48","X-ray appearance after intestinal perforation repair with the double J stent in place."
"ImageCLEFmedical_Caption_2026_valid_49","Example of a thorax CT slice with manually delineated ROI (white box) and corresponding ground-truth segmentation mask of a lung nodule (black box)."
"ImageCLEFmedical_Caption_2026_valid_50","Chest X-ray. Chest radiograph showed a decreased right pulmonary volume and blunted right costopleural angle. The heart is in the normal position. No specific findings to suggest COVID-19 infection were seen."
"ImageCLEFmedical_Caption_2026_valid_51","Chest radiography. Chest radiography revealed multiple fractures of the left fourth to seventh ribs."
"ImageCLEFmedical_Caption_2026_valid_52","CT thorax showing consolidation and ground glass opacities throughout the right lung."
"ImageCLEFmedical_Caption_2026_valid_53","Transthoracic echocardiography. Short-axis view: severe mitral regurgitation"
"ImageCLEFmedical_Caption_2026_valid_54","Chest X-ray on initial admission."
"ImageCLEFmedical_Caption_2026_valid_55","Echocardiography showing severe tricuspid regurgitation"
"ImageCLEFmedical_Caption_2026_valid_56","Magnetic resonance imaging (MRI) pelvis. T2-weighted MRI pelvis sagittal section, arrows showing the cystic nature of the lesion with areas of solid component."
"ImageCLEFmedical_Caption_2026_valid_57","Magnetic resonance image (MRI) of the pelvis showing a large complex ovarian mass with solid and cystic components, and internal septations."
"ImageCLEFmedical_Caption_2026_valid_58","X-ray of the lateral view of the patient's skull, showing the electrode array in the lateral position (arrow)."
"ImageCLEFmedical_Caption_2026_valid_59","Radiograph of a horse with severe osteomyelitis of the rostral palmar lamellae of the right carpus. Note the thickening and lysis of the lamellae and the presence of a gas pocket (long white arrow) within the lamellae. Also visible are a smaller gas pocket within the distal palmar lamellae (medium white arrow) and a small gas pocket within the distal plantar fat pad (short white arrow)."
"ImageCLEFmedical_Caption_2026_valid_60","Laterolateral radiograph of the head in a cat with dental disease. Note the long roots and severe periodontal disease. The dental radiographic score was 15/20."
"ImageCLEFmedical_Caption_2026_valid_61","Radiograph of a right paramolar with a crown of a canine below it."
"ImageCLEFmedical_Caption_2026_valid_62","Radiograph of the right maxillary sinus of a cat with a 'cracked' appearance of the sinus lining (arrows) and a bone density mass (arrowhead) within the sinus."
"ImageCLEFmedical_Caption_2026_valid_63","Latero-lateral X-ray of the head of a dog with a cranio-basal skull length of 55.66 mm and a cranium length of 28.15 mm."
"ImageCLEFmedical_Caption_2026_valid_64","X-ray of a dog depicting the presence of a foreign object (indicated by the arrows) in the cervical region."
"ImageCLEFmedical_Caption_2026_valid_65","Latero-lateral view of a horse with a severe cranio-mandibular osteomyelitis. The presence of liquid and gas inclusions (white arrows) is characteristic of acute phase. Notice the presence of the air-fluid level (white arrowheads) inside the osteomyelitis."
"ImageCLEFmedical_Caption_2026_valid_66","CT chest showing a large left atrial mass (red arrow) and left atrial appendage clot (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_67","Lateral chest x-ray demonstrates a spiculated nodule (white arrow) projecting over the right cardiac border."
"ImageCLEFmedical_Caption_2026_valid_68","Axial T2W image of a cat with PPMS of the brain showing symmetrical hyperintensity in the caudate nuclei. Note also the dorsal sparing of the globus pallidus externus."
"ImageCLEFmedical_Caption_2026_valid_69","Chest CT. Black arrows show right pleural effusion. Black triangles show esophageal mass."
"ImageCLEFmedical_Caption_2026_valid_70","Chest radiograph showing right-sided consolidation."
"ImageCLEFmedical_Caption_2026_valid_71","Computed tomography (CT) scan of the chest illustrates a right lower lobe pneumonia with parapneumonic effusion."
"ImageCLEFmedical_Caption_2026_valid_72","CT urogram without abnormal filling defects in the urinary bladder. CT: computed tomography"
"ImageCLEFmedical_Caption_2026_valid_73","Antegrade pyelography with an arrow pointing at the filling defect obstructing the ureteropelvic junction."
"ImageCLEFmedical_Caption_2026_valid_74","CT pelvis showing resolving ureteric stent migration."
"ImageCLEFmedical_Caption_2026_valid_75","Point-of-care cardiac ultrasound with subcostal view demonstrating right ventricular (RV) dilation (yellow arrow) and free floating mobile echodensity in the right atrium (RA) (white arrow) consistent with right ventricular thrombus. PE: pericardial effusion."
"ImageCLEFmedical_Caption_2026_valid_76","Computed tomography angiography image of the lower limb in coronal view showing the pseudoaneurysm of the left anterior tibial artery"
"ImageCLEFmedical_Caption_2026_valid_77","X-ray abdomen lateral view showing the post-op stent (blue arrow)"
"ImageCLEFmedical_Caption_2026_valid_78","Abdominal radiograph (blue arrow – stent)"
"ImageCLEFmedical_Caption_2026_valid_79","CT scan showing (A) oesophageal rupture, (B) oesophageal and gastric stent and (C) gastric band."
"ImageCLEFmedical_Caption_2026_valid_80","A six-week postoperative X-ray showed the residual encrusted stent without evidence of residual hydronephrosis."
"ImageCLEFmedical_Caption_2026_valid_81","Collection extending to the level of the diaphragm."
"ImageCLEFmedical_Caption_2026_valid_82","Axial CT scan of the abdomen without intravenous contrast showing a large hematoma in the left retroperitoneal space. The largest hematoma measures 14.4 cm × 13.9 cm."
"ImageCLEFmedical_Caption_2026_valid_83","CT chest showing consolidation in left upper lobe of lung"
"ImageCLEFmedical_Caption_2026_valid_84","Color Doppler of testicular trauma. The arrow shows the hypoechoic hematoma."
"ImageCLEFmedical_Caption_2026_valid_85","Contrast enhanced computed tomography of the neck showing a solid and cystic lesion in the left thyroid lobe (yellow triangle)."
"ImageCLEFmedical_Caption_2026_valid_86","Contrast-enhanced CT image of the neck. On the anterior surface of the tracheal stent, hematoma (arrow) was observed."
"ImageCLEFmedical_Caption_2026_valid_87","Ultrasound of the right submandibular gland showing a well-defined isoechoic solid nodule (triangle) measuring 2.6 cm × 1.7 cm × 1.5 cm."
"ImageCLEFmedical_Caption_2026_valid_88","Coronal short tau inversion recovery (STIR) sequence MRI of the patient's neck and shoulder region.The image displays a STIR sequence MRI performed for the patient. The arrow indicates the left cervical rib. The arrowhead indicates the left shoulder dislocation."
"ImageCLEFmedical_Caption_2026_valid_89","Coronal short tau inversion recovery magnetic resonance imaging of the upper chest and neck demonstrating a right brachial plexus (arrow) and axillary (arrowhead) nerve plexus injury."
"ImageCLEFmedical_Caption_2026_valid_90","T2-weighted sagittal image of cervical spine. The image shows a large central disc herniation at C6-7 causing severe cord compression."
"ImageCLEFmedical_Caption_2026_valid_91","Anterior segment OCT showing shallow anterior chamber and closed angles (yellow arrow)OCT: optical coherence tomography"
"ImageCLEFmedical_Caption_2026_valid_92","CT scan of the abdomen and pelvis. Pancreatic pseudocyst (white arrow)"
"ImageCLEFmedical_Caption_2026_valid_93","Anterior posterior X-ray of the total knee arthroplasty immediately following implantation."
"ImageCLEFmedical_Caption_2026_valid_94","Hip MRI revealed avascular necrosis of the femoral head and left hip De Garengeot pseudarthrosis, as shown by the green markers."
"ImageCLEFmedical_Caption_2026_valid_95","T1-weighted coronal magnetic resonance image of the patient."
"ImageCLEFmedical_Caption_2026_valid_96","Abdominal CT showed a 2.3 cm × 2.0 cm mass in the left obturator area (arrow)."
"ImageCLEFmedical_Caption_2026_valid_97","Abdominal CT scan. Abdominal CT scan showed a 3557mm solid and inhomogeneous enhanced mass with slightly lower attenuation in the right abdomen, adjacent to the right lateral abdominal wall (arrow)."
"ImageCLEFmedical_Caption_2026_valid_98","Abdominal computed tomography scan showed a mass in the left flank (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_99","CT scan of the abdomen showing a large parastomal hernia (blue arrow) containing a loop of small bowel and associated with small bowel obstruction."
"ImageCLEFmedical_Caption_2026_valid_100","Transesophageal echocardiography showing an apical sessile mass attached to the atrial side of the anterior mitral leaflet"
"ImageCLEFmedical_Caption_2026_valid_101","Abdominal computed tomography (CT) examination showed a pancreatic tail mass (arrow)."
"ImageCLEFmedical_Caption_2026_valid_102","High-resolution CT of the chest without contrast, axial plane, showing emphysema (upper lobes) and fibrosis (lower lobes)."
"ImageCLEFmedical_Caption_2026_valid_103","Coronal CT of the chest. The red arrow points to the cavitary lesion in the left upper lobe.CT, computed tomography"
"ImageCLEFmedical_Caption_2026_valid_104","Chest x-ray showing left-sided pleural effusion with an underlying mass and bilateral lung infiltrates"
"ImageCLEFmedical_Caption_2026_valid_105","plain abdominal radiography showing a fluid level in the right side of the abdomen"
"ImageCLEFmedical_Caption_2026_valid_106","CT scan (coronal view) showing the dilated gut."
"ImageCLEFmedical_Caption_2026_valid_107","The planning target volume (PTV) was determined to cover the entire breast (light blue), including the area of PTV 1 (red circle, PTV1) and PTV2 (light green)"
"ImageCLEFmedical_Caption_2026_valid_108","PET-CT showing multiple lymph nodes in various dimensions in the mediastinum, in the cervical region, and in the supraclavicular area, suggestive of disseminated malignant lymph nodes."
"ImageCLEFmedical_Caption_2026_valid_109","Positron emission tomography imaging showing a metabolically active lesion within the left iliac bone."
"ImageCLEFmedical_Caption_2026_valid_110","PET scan showing left hilar mass with associated metabolically avid left lung mass."
"ImageCLEFmedical_Caption_2026_valid_111","Abdominal CT scan showing a hepatorenal hernia with a short neck (arrow)"
"ImageCLEFmedical_Caption_2026_valid_112","Right deep cervical lymph node metastasis (arrow) on the computed tomography image at the onset of pharyngo-laryngeal cancer."
"ImageCLEFmedical_Caption_2026_valid_113","CT scan with contrast, axial view. The arrow indicates the main pulmonary artery aneurism with intraluminal thrombus."
"ImageCLEFmedical_Caption_2026_valid_114","Example of ROIs (yellow square) drawn on the image for delineating the margins of the trigeminal nerve, located on the left side"
"ImageCLEFmedical_Caption_2026_valid_115","FLAIR sequencing shows hyperintensity in dentate nuclei."
"ImageCLEFmedical_Caption_2026_valid_116","Brain MRI imaging of the patient"
"ImageCLEFmedical_Caption_2026_valid_117","Coronal MRI showing dilated loops of bowel (red arrows) and gravid uterus with fetus (red asterisk)"
"ImageCLEFmedical_Caption_2026_valid_118","Supine abdominal X-ray showing dilated small bowel loops."
"ImageCLEFmedical_Caption_2026_valid_119","Measurement of the distance (D) between the fetal head and the internal os."
"ImageCLEFmedical_Caption_2026_valid_120","Chest X-ray showing the catheter in the left subclavian vein and the left internal jugular vein with the tip reaching the level of aortic arch."
"ImageCLEFmedical_Caption_2026_valid_121","Left ventriculography. The contrast medium was injected through a ventricular drainage catheter placed in the left ventricle via the left superior pulmonary vein. The image shows a large diverticulum (dashed arrow) arising from the left ventricular apex. The left ventricular outflow tract is marked with a solid arrow"
"ImageCLEFmedical_Caption_2026_valid_122","Venogram showing the azygos vein draining into the left SVC.SVC, superior vena cava."
"ImageCLEFmedical_Caption_2026_valid_123","Chest CT (lung window) of 70-year-old female with CO-RADS 6 showing multifocal peripheral ground-glass opacities."
"ImageCLEFmedical_Caption_2026_valid_124","Chest X-ray obtained at admission showing diffuse bilateral interstitial opacities."
"ImageCLEFmedical_Caption_2026_valid_125","Echocardiography (parasternal long axis view) showing a mobile linear echodensity in the LV at the LV apex.LV, Left ventricle"
"ImageCLEFmedical_Caption_2026_valid_126","CT scan showing left renal mass."
"ImageCLEFmedical_Caption_2026_valid_127","Axial view of non-contrast T1 weighted brain MRI demonstrating bilateral thalami and basal ganglia hyperintensities."
"ImageCLEFmedical_Caption_2026_valid_128","A 1.29 cm dilated bowel loop."
"ImageCLEFmedical_Caption_2026_valid_129","Ovarian ultrasound."
"ImageCLEFmedical_Caption_2026_valid_130","Ultrasound image of the left kidney"
"ImageCLEFmedical_Caption_2026_valid_131","Ultrasound image showing a moderate hydronephrosis of the right kidney"
"ImageCLEFmedical_Caption_2026_valid_132","Multilocular cystic renal mass."
"ImageCLEFmedical_Caption_2026_valid_133","US image of the upper abdomen showing a round, hypoechoic lesion with septations."
"ImageCLEFmedical_Caption_2026_valid_134","A 63-year-old patient with a history of deep vein thrombosis treated with a direct oral anticoagulant (rivaroxaban). A computed tomography scan was performed to rule out pulmonary embolism, showing an aneurysmal dilatation of the ascending aorta (yellow measurement) and transverse aorta (blue measurement)."
"ImageCLEFmedical_Caption_2026_valid_135","CT of the brain showing diffuse cortical atrophy and generalised smooth sulcal prominence."
"ImageCLEFmedical_Caption_2026_valid_136","Brain computed tomography axial section indicating no cerebral hemorrhage or brain infarction."
"ImageCLEFmedical_Caption_2026_valid_137","Severe tricuspid valvular regurgitation"
"ImageCLEFmedical_Caption_2026_valid_138","Transesophageal echocardiography image showing the aortic valve with a bicuspid valve. The two cusp-like structures are labeled as follows: Left cusp is labeled as (L), the right cusp is labeled as (R), and the short cusp is labeled as (N)."
"ImageCLEFmedical_Caption_2026_valid_139","An example of a region of interest (ROI) automatically placed around the biggest vascular structure visible in the image using a freehand ROI tool."
"ImageCLEFmedical_Caption_2026_valid_140","CT scan of the abdomen. The white arrow shows a 2.5 cm exophytic mass lesion in the right adrenal gland with no calcification or cystic changes."
"ImageCLEFmedical_Caption_2026_valid_141","Ultrasound of the right kidney shows a 1.2 cm hyperechoic focus in the renal parenchyma (arrow)."
"ImageCLEFmedical_Caption_2026_valid_142","Example of how the cross-sectional area and perimeter were measured in the abdominal region at the third lumbar vertbrae (L3)"
"ImageCLEFmedical_Caption_2026_valid_143","CT abdomen showing the guidewire extending from the renal pelvis into the inferior vena cava. CT: computed tomography"
"ImageCLEFmedical_Caption_2026_valid_144","Curviplanar reformatted image of contrast-enhanced coronary CT angiographic image in a 27-year-old female with Takayasu disease demonstrates severe ostial stenosis of the left main coronary artery with moderate ostial and proximal right coronary artery stenosis (arrows)."
"ImageCLEFmedical_Caption_2026_valid_145","Retrograde urethrogram (RUG) showing a fistula between the urethra and the adjacent corpus cavernosum (red arrow), and the urethral stricture (yellow arrow)."
"ImageCLEFmedical_Caption_2026_valid_146","Cardiac magnetic resonance imaging showing mild left ventricular hypertrophy"
"ImageCLEFmedical_Caption_2026_valid_147","Non-contrast axial computed tomography (CT) of the head.There is an extraocular right orbital mass (yellow arrow) inseparable from the insertion of the right inferior rectus muscle."
"ImageCLEFmedical_Caption_2026_valid_148","Axial CT image shows the distance between the spleen and the vertebral column. The red line represents the distance between the spleen and the vertebral column. CT: computed tomography."
"ImageCLEFmedical_Caption_2026_valid_149","Chest radiograph at 4 years of age."
"ImageCLEFmedical_Caption_2026_valid_150","A PET/CT scan with 18F-fluorodeoxyglucose (FDG) showing left diaphragmatic pleural thickening, left pleural effusion, and metabolically active left renal mass (SUVmax 13.3)."
"ImageCLEFmedical_Caption_2026_valid_151","MRI brain with and without contrast showing no abnormal enhancement of the meninges."
"ImageCLEFmedical_Caption_2026_valid_152","Pre-operative weight-bearing lateral film of the left foot."
"ImageCLEFmedical_Caption_2026_valid_153","Stress radiographs showing volar plate fixation without volar plate gap or instability."
"ImageCLEFmedical_Caption_2026_valid_154","X-ray of the left foot and ankle showing medial prominence of the talar neck."
"ImageCLEFmedical_Caption_2026_valid_155","CT scan, coronal view. The image shows a bony thickening of the inner table of the right frontal sinus, extending into the right frontal recess."
"ImageCLEFmedical_Caption_2026_valid_156","[18F]fluoride positron emission tomography (PET) scan showing multiple foci of intense tracer uptake in the skeleton"
"ImageCLEFmedical_Caption_2026_valid_157","Physiological biodistribution of [18F]FSPG"
"ImageCLEFmedical_Caption_2026_valid_158","Post-treatment PET/CT scan. Post-radiation therapy PET/CT showing resolution of the left axillary mass.PET:positron emission tomography, CT: computed tomography"
"ImageCLEFmedical_Caption_2026_valid_159","CT chest showing left upper lobe sub-centimeter nodule (red circle)."
"ImageCLEFmedical_Caption_2026_valid_160","Axial STIR of the left hip joint"
"ImageCLEFmedical_Caption_2026_valid_161","CT chest showing a small area of consolidation in the right upper lobe with surrounding ground glass opacities."
"ImageCLEFmedical_Caption_2026_valid_162","Standing mechanical axis radiograph. The mechanical axis (green) of the patient's right leg (red) is lateral to the anatomical axis (red) of the left leg (green)."
"ImageCLEFmedical_Caption_2026_valid_163","Foot X-Ray"
