"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Coronal MRI demonstrating a large intracranial mass lesion with associated hydrocephalus and midline shift."
"ImageCLEFmedical_Caption_2026_valid_1","T1-weighted MRI of the brain showing symmetrical, bilateral hyperintense lesions in the basal ganglia region."
"ImageCLEFmedical_Caption_2026_valid_2","MRI of the lumbar spine showing a disc herniation at L1-L2 level, indicated by the white arrow."
"ImageCLEFmedical_Caption_2026_valid_3","Postoperative radiograph showing a femoral head with a stem and a screw, with a yellow arrow indicating a potential complication or area of interest."
"ImageCLEFmedical_Caption_2026_valid_4","Anteroposterior radiograph of the pelvis showing bilateral total hip arthroplasty with implant positioning indicated by arrows."
"ImageCLEFmedical_Caption_2026_valid_5","Hip radiograph showing bilateral acetabular dysplasia with narrowed pelvic inlet and increased femoral head-neck angle."
"ImageCLEFmedical_Caption_2026_valid_6","Postoperative radiograph showing three screws in place for hip fracture fixation."
"ImageCLEFmedical_Caption_2026_valid_7","Pelvis with both hip AP radiograph showing postoperative fixation with screws and rod in the right femoral head and neck."
"ImageCLEFmedical_Caption_2026_valid_8","Anteroposterior radiograph of the pelvis demonstrating a right hip replacement with a visible screw and acetabular cup."
"ImageCLEFmedical_Caption_2026_valid_9","Hip X-ray showing surgical fixation with screws for acetabular fracture."
"ImageCLEFmedical_Caption_2026_valid_10","Postoperative pelvic radiograph showing a total hip replacement with screws and implant in situ."
"ImageCLEFmedical_Caption_2026_valid_11","Post-operative pelvic radiograph showing hip arthroplasty with screws and implant fixation."
"ImageCLEFmedical_Caption_2026_valid_12","MRI of the knee showing three measured distances: A (13.96mm), B (9.64mm), and C (11.47mm) indicating structural abnormalities or lesions."
"ImageCLEFmedical_Caption_2026_valid_13","MRI of the knee showing a meniscal tear with measured dimensions: D: 9.16mm, E: 6.26mm, F: 8.52mm."
"ImageCLEFmedical_Caption_2026_valid_14","MRI of the knee showing a large effusion (arrows) in both images A and B."
"ImageCLEFmedical_Caption_2026_valid_15","CT scan revealing a large intrathoracic mass with associated air-fluid levels and a significant mediastinal shift."
"ImageCLEFmedical_Caption_2026_valid_16","CT scan showing a soft tissue mass in the right upper quadrant with a red arrow pointing to the lesion."
"ImageCLEFmedical_Caption_2026_valid_17","CT scan shows a 4 cm soft tissue mass in the right lower thoracic region (arrow)."
"ImageCLEFmedical_Caption_2026_valid_18","Ultrasound image showing gallbladder with multiple hypoechoic structures, indicating gallstones."
"ImageCLEFmedical_Caption_2026_valid_19","CT scan of the abdomen showing a large, well-defined mass in the right upper quadrant, measuring 9.45 mm in diameter."
"ImageCLEFmedical_Caption_2026_valid_20","A chest X-ray showing a large, well-defined, and homogeneous opacity in the right lower lung field, consistent with a pulmonary abscess or a large bronchial carcinoma."
"ImageCLEFmedical_Caption_2026_valid_21","CT scan of the maxilla showing a radiopaque foreign body in the right maxillary sinus."
"ImageCLEFmedical_Caption_2026_valid_22","Doppler ultrasound showing a large, complex, echogenic mass with turbulent flow and color-coded velocity map."
"ImageCLEFmedical_Caption_2026_valid_23","Cervical spine radiograph with anatomical landmarks and measurement lines for cervical lordosis assessment."
"ImageCLEFmedical_Caption_2026_valid_24","Periapical radiograph showing a large radiopaque lesion in the root canal region."
"ImageCLEFmedical_Caption_2026_valid_25","MRI showing a mass in the right frontal lobe."
"ImageCLEFmedical_Caption_2026_valid_26","Ultrasound image showing a large, hypoechoic mass with irregular borders and internal echoes, indicated by the arrow."
"ImageCLEFmedical_Caption_2026_valid_27","Transabdominal ultrasound image showing a large, hypoechoic, well-circumscribed mass with a central echogenic area and a diameter of 7.9 cm."
"ImageCLEFmedical_Caption_2026_valid_28","CT scan showing a large, centrally located, fluid-filled cystic lesion in the upper abdomen, with surrounding bowel loops and a dilated pancreatic duct."
"ImageCLEFmedical_Caption_2026_valid_29","Color Doppler ultrasound showing multiple intracardiac shunts with turbulent flow, indicating a complex congenital heart defect."
"ImageCLEFmedical_Caption_2026_valid_30","Pneumothorax with visible air collection in the right pleural space, causing mediastinal shift and reduced lung volume on the affected side."
"ImageCLEFmedical_Caption_2026_valid_31","PET-CT scan showing a large, intensely metabolically active mass in the right upper quadrant, with significant uptake in the liver and surrounding abdominal organs, suggesting a high-grade malignancy."
"ImageCLEFmedical_Caption_2026_valid_32","A chest X-ray showing a large, well-defined, and centrally located cardiac silhouette with no signs of cardiomegaly or pulmonary edema."
"ImageCLEFmedical_Caption_2026_valid_33","Color Doppler echocardiogram showing turbulent flow with red and blue arrows indicating bidirectional shunting."
"ImageCLEFmedical_Caption_2026_valid_34","CT scan showing a 3 cm mass in the right lung with central airway involvement and mediastinal lymphadenopathy."
"ImageCLEFmedical_Caption_2026_valid_35","Axial non-contrast CT head showing a well-circumscribed, hyperdense lesion in the right parietal lobe, consistent with a cerebral hemorrhage."
"ImageCLEFmedical_Caption_2026_valid_36","Non-contrast CT head showing a large intracerebral hemorrhage in the left parietal lobe with significant mass effect and midline shift."
