"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","MRI of the brain showing a right frontoparietal and left occipitoparietal hypointense lesion with peritumoral edema."
"ImageCLEFmedical_Caption_2026_valid_1","T2-weighted magnetic resonance imaging showing a normal brain"
"ImageCLEFmedical_Caption_2026_valid_2","MRI lumbar spine with IV contrast. The arrow shows the epidural hematoma, which extends from L1 to L5."
"ImageCLEFmedical_Caption_2026_valid_3","Radiograph of the left hip at the six-month follow-up visit. The yellow arrow is pointing at the fracture site of the right femur"
"ImageCLEFmedical_Caption_2026_valid_4","X-ray of the pelvis showing bilateral femoral neck fracture."
"ImageCLEFmedical_Caption_2026_valid_5","X-ray pelvis showing Pipkin's fracture"
"ImageCLEFmedical_Caption_2026_valid_6","Anteroposterior radiographic view of the right hip joint showing the location of the screws used for the internal stabilisation of the acetabulum."
"ImageCLEFmedical_Caption_2026_valid_7","Pelvis with both hip AP"
"ImageCLEFmedical_Caption_2026_valid_8","Post-operative X-ray showing the total left hip arthroplasty"
"ImageCLEFmedical_Caption_2026_valid_9","X-ray of the pelvis after 6 months of operation. The left acetabulum shows good bony union."
"ImageCLEFmedical_Caption_2026_valid_10","Radiological findings of the pelvis and both hips. The radiograph shows osteosclerotic lesions in the left femoral head and femoral neck, as well as the osteolytic destruction of the left humeral head."
"ImageCLEFmedical_Caption_2026_valid_11","Post-operative X-ray of the pelvis."
"ImageCLEFmedical_Caption_2026_valid_12","T2-weighted magnetic resonance imaging scan of the knee for the patient. A, the thickness of the medial femoral condylar cartilage; B, the thickness of the medial tibial plateau cartilage; C, the thickness of the medial patellar cartilage"
"ImageCLEFmedical_Caption_2026_valid_13","Osteochondroma on the left tibial plateau. The red lines mark the length of the osteochondroma on the anterior, posterior, and superior sides."
"ImageCLEFmedical_Caption_2026_valid_14","Magnetic resonance imaging of the left knee joint.A: T2 sagittal magnetic resonance imaging. B: STIR sagittal magnetic resonance imaging.The arrows show the fracture.STIR, short TI inversion recovery"
"ImageCLEFmedical_Caption_2026_valid_15","CT image of the scapular mass. The mass is seen in the right scapular region."
