ID,Caption
ImageCLEFmedical_Caption_2026_valid_0,"Axial T2-weighted MRI of the brain, showing the cerebral spinal fluid (CSF) within the ventricles, the brain parenchyma, and the spinal cord."
ImageCLEFmedical_Caption_2026_valid_1,"A T2-weighted axial MRI image of the brain shows hyperintense signal in the periventricular white matter, suggestive of small vessel ischemic changes."
ImageCLEFmedical_Caption_2026_valid_2,"Sagittal MRI of the lumbar spine showing a large disc herniation at L4-L5, compressing the thecal sac."
ImageCLEFmedical_Caption_2026_valid_3,"Anterior-posterior (AP) radiograph of the hip showing a total hip arthroplasty (THA) with a fracture of the femoral stem."
ImageCLEFmedical_Caption_2026_valid_4,"Hip replacements (arrows indicate the prosthetic components)."
ImageCLEFmedical_Caption_2026_valid_5,"X-ray of the hip showing a femoral neck fracture."
ImageCLEFmedical_Caption_2026_valid_6,"Fracture of the proximal humerus with plate and screws in place."
ImageCLEFmedical_Caption_2026_valid_7,"Hip fracture with internal fixation."
ImageCLEFmedical_Caption_2026_valid_8,"An X-ray showing a right hip replacement."
ImageCLEFmedical_Caption_2026_valid_9,"Anteroposterior hip X-ray showing fixation with screws."
ImageCLEFmedical_Caption_2026_valid_10,"Hip X-ray with fixation hardware."
ImageCLEFmedical_Caption_2026_valid_11,"X-ray image of the pelvis showing signs of a previous fracture in the left hip, with hardware visible."
ImageCLEFmedical_Caption_2026_valid_12,"MRI of the right knee showing a 11mm x 9mm lesion in the medial femoral condyle with a signal intensity of 14.96 on T1-weighted images and 9.64 on T2-weighted images."
ImageCLEFmedical_Caption_2026_valid_13,"Sagittal MRI of the knee shows a large osteochondral lesion in the medial compartment."
ImageCLEFmedical_Caption_2026_valid_14,"MRI of the knee showing a soft tissue abnormality in the medial compartment, likely a meniscal tear."
ImageCLEFmedical_Caption_2026_valid_15,"CT scan of the chest showing a well-defined, round mass in the left lung."
ImageCLEFmedical_Caption_2026_valid_16,"CT scan of the chest showing a mass in the right lung."
ImageCLEFmedical_Caption_2026_valid_17,"Traumatic brain injury with skull fracture."
ImageCLEFmedical_Caption_2026_valid_18,"Ultrasound of the abdomen showing a gallstone in the gallbladder (GB)."
ImageCLEFmedical_Caption_2026_valid_19,"Abdominal CT showing a bowel perforation with free air in the abdomen."
ImageCLEFmedical_Caption_2026_valid_20,"Chest X-Ray with a possible pleural effusion on the left side."
ImageCLEFmedical_Caption_2026_valid_21,"A dental CBCT image showing a radiopaque lesion within the left mandibular molar."
ImageCLEFmedical_Caption_2026_valid_22,"Abdominal ultrasound showing a fetus in the uterus."
ImageCLEFmedical_Caption_2026_valid_23,"Cervical spine X-ray showing the vertebral bodies (labeled C1-C7) and the cervical vertebrae (labeled C2-C6)."
ImageCLEFmedical_Caption_2026_valid_24,"Tooth with a filling."
ImageCLEFmedical_Caption_2026_valid_25,"MRI of the brain showing a lesion in the left temporal lobe."
ImageCLEFmedical_Caption_2026_valid_26,"Echocardiogram showing a large left atrial thrombus (arrow)."
ImageCLEFmedical_Caption_2026_valid_27,"Ultrasound image showing a large, cystic lesion in the left renal masseter space (arrow)."
ImageCLEFmedical_Caption_2026_valid_28,"Axial CT image of the abdomen. The image shows a dilated small bowel loop in the central abdomen, with surrounding inflammation."
ImageCLEFmedical_Caption_2026_valid_29,"Ultrasound image of abdominal aorta showing a large aneurysm with contrast enhancement."
ImageCLEFmedical_Caption_2026_valid_30,"Chest X-ray: Right lung consolidation with suspected pneumonia. Left lung appears clear."
ImageCLEFmedical_Caption_2026_valid_31,"Transverse image showing the liver, spleen, kidneys, and pancreas."
ImageCLEFmedical_Caption_2026_valid_32,"Chest X-ray showing the heart, lungs, and bones. The heart is in the center of the chest and appears to be slightly enlarged. The lungs are clear. The ribs and clavicles are visible on either side of the chest. The spine is seen along the bottom of the image."
ImageCLEFmedical_Caption_2026_valid_33,"Transthoracic echocardiogram showing a large pericarial effusion (blue arrow) and a small pericardial effusion (red arrow)."
ImageCLEFmedical_Caption_2026_valid_34,"CT chest showing a large mediastinal mass with significant compression of the trachea, likely a large lymph node metastasis."
ImageCLEFmedical_Caption_2026_valid_35,"Brain MRI showing a mass in the right frontal lobe."
ImageCLEFmedical_Caption_2026_valid_36,"Right cerebellar hemorrhage."
ImageCLEFmedical_Caption_2026_valid_37,"Chest X-ray showing right lower lobe consolidation."
ImageCLEFmedical_Caption_2026_valid_38,"Right eye fundus view: Optic disc swelling (yellow arrow), retinal hemorrhages (red arrow), and possible macular edema (blue arrow)."
ImageCLEFmedical_Caption_2026_valid_39,"Ultrasound image of the pelvis showing a large cystic mass with internal echoes and a possible solid component."
ImageCLEFmedical_Caption_2026_valid_40,"MRI image of the head showing a mass in the left parotid gland (white arrow) and a corresponding hypodense area in the left parotid gland (black circle)."
ImageCLEFmedical_Caption_2026_valid_41,"The axial CT shows a mass in the right parotid gland."
ImageCLEFmedical_Caption_2026_valid_42,"Abdominal X-ray showing bowel loops and air in the abdomen."
ImageCLEFmedical_Caption_2026_valid_43,"Intubation of the right main bronchus."
ImageCLEFmedical_Caption_2026_valid_44,"CT scan of the chest showing bilateral pulmonary edema and a pleural effusion."
ImageCLEFmedical_Caption_2026_valid_45,"Abdominal CT scan showing bowel loops and a possible small bowel obstruction."
ImageCLEFmedical_Caption_2026_valid_46,"CT scan showing significant bowel distension and multiple air-fluid levels in the abdomen."
ImageCLEFmedical_Caption_2026_valid_47,"Anteroposterior view of the lower leg, showing a right-sided knee replacement. The knee joint is clearly visible with its prosthetic components."
ImageCLEFmedical_Caption_2026_valid_48,"Fluoroscopic image of a catheter positioned in the inferior vena cava (IVC) with a guidewire."
ImageCLEFmedical_Caption_2026_valid_49,"Axial view of the chest CT showing the heart, lungs, and major vessels."
ImageCLEFmedical_Caption_2026_valid_50,"Chest X-ray showing the heart, lungs, and major blood vessels of the chest. The heart is located in the center of the chest. The lungs are the large, dark areas on either side of the heart. The trachea (windpipe) is visible in the midline of the chest. The ribs form the bony framework of the chest."
ImageCLEFmedical_Caption_2026_valid_51,"Chest X-ray showing a possible left-sided pleural effusion. (Arrows point to the fluid collection.)"
ImageCLEFmedical_Caption_2026_valid_52,"Diffuse infiltrates in the right lung, with a possible nodule in the left lung."
ImageCLEFmedical_Caption_2026_valid_53,"Transthoracic echocardiogram showing a large pericardial effusion with tamponade."
ImageCLEFmedical_Caption_2026_valid_54,"Chest X-ray showing signs of pulmonary edema and cardiomegaly."
ImageCLEFmedical_Caption_2026_valid_55,"Transthoracic echocardiogram showing a normal view of the heart with a normal cardiac silhouette."
ImageCLEFmedical_Caption_2026_valid_56,"Large cystic mass in the lower abdomen (arrows) with significant compression of the bowel."
ImageCLEFmedical_Caption_2026_valid_57,"MRI of the pelvis showing a large cystic mass with internal septations in the left ovary (arrows)."
ImageCLEFmedical_Caption_2026_valid_58,"The image shows a skull radiograph with a device positioned within the skull."
ImageCLEFmedical_Caption_2026_valid_59,"Dental radiograph showing a radiopaque mass in the right maxillary sinus (arrows)."
ImageCLEFmedical_Caption_2026_valid_60,"Dental X-ray shows a radiopaque foreign body in the oral cavity, likely a tooth fragment or a foreign object."
ImageCLEFmedical_Caption_2026_valid_61,"Dental X-ray showing a fractured tooth."
ImageCLEFmedical_Caption_2026_valid_62,"Dental X-ray showing a fused mandible with a normal canine tooth on the right (R) and a normal canine tooth on the left. There are also signs of a possible impacted tooth."
ImageCLEFmedical_Caption_2026_valid_63,"Dental X-ray showing teeth, possibly for dental examination."
ImageCLEFmedical_Caption_2026_valid_64,"Dental radiograph showing the teeth and surrounding structures."
ImageCLEFmedical_Caption_2026_valid_65,"Dental X-ray showing possible tooth decay and fractured tooth."
ImageCLEFmedical_Caption_2026_valid_66,"Axial CT image showing a large pericardial effusion (white arrow) with a possible small pericardial effusion (black arrow) and right ventricular collapse (red arrow)."
ImageCLEFmedical_Caption_2026_valid_67,"Chest X-ray shows a nodule in the right lung field."
ImageCLEFmedical_Caption_2026_valid_68,"MRI showing bilateral cerebral edema."
ImageCLEFmedical_Caption_2026_valid_69,"Computed tomography image of the chest showing a large mediastinal mass with extension into the surrounding structures, including the pericardium (arrows) and potentially involving the vertebral bodies (arrowheads)."
ImageCLEFmedical_Caption_2026_valid_70,"Chest X-ray showing right lower lobe pneumonia."
ImageCLEFmedical_Caption_2026_valid_71,"Axial CT chest showing right pleural effusion and possible lung consolidation."
ImageCLEFmedical_Caption_2026_valid_72,"Axial CT image of the pelvis showing a 7mm stone in the right ureter."
ImageCLEFmedical_Caption_2026_valid_73,"Intraluminal mass (arrow)."
ImageCLEFmedical_Caption_2026_valid_74,"The image shows a transverse view of the pelvis. A radiopaque density is seen in the right lower abdomen, likely representing a foreign body."
ImageCLEFmedical_Caption_2026_valid_75,"Ultrasound of the abdomen showing a possible thrombus in the right atrium (RA) and right ventricle (RV)."
ImageCLEFmedical_Caption_2026_valid_76,"Anteroposterior view of the lower extremity showing a hyperdense lesion in the left popliteal vein (arrow)."
ImageCLEFmedical_Caption_2026_valid_77,"Posterior-anterior chest X-ray showing a central venous catheter (arrow)."
ImageCLEFmedical_Caption_2026_valid_78,"The image shows a contrast-filled tube within the stomach."
ImageCLEFmedical_Caption_2026_valid_79,"Abdominal CT showing a right-sided central line (A) and a superior vena cava (SV) stent (B) with the stent material clearly visualized. The bowel loops (C) are seen in the background."
ImageCLEFmedical_Caption_2026_valid_80,"Abdomen X-ray."
ImageCLEFmedical_Caption_2026_valid_81,"Axial CT image of the chest showing a large pericardial effusion with a heart size of 179 mm, and a chest diameter of 129 mm."
ImageCLEFmedical_Caption_2026_valid_82,"Abdominal CT showing a large mass in the right kidney, with a diameter of 144 mm and a central vessel diameter of 139 mm."
ImageCLEFmedical_Caption_2026_valid_83,"CT scan of the chest showing emphysema, indicated by the black areas in the lungs."
ImageCLEFmedical_Caption_2026_valid_84,"Left leg ultrasound showing a large mass."
ImageCLEFmedical_Caption_2026_valid_85,"Axial CT image of the neck showing a left-sided mass in the prevertebral space (yellow arrows)."
ImageCLEFmedical_Caption_2026_valid_86,"Axial CT image of the neck showing a mass in the right submandibular region with associated lymphadenopathy."
ImageCLEFmedical_Caption_2026_valid_87,"Ultrasound image of the left groin showing a hypoechoic mass (arrowheads) with a clearly defined margin, suggesting a possible lipoma or other benign soft tissue tumor."
ImageCLEFmedical_Caption_2026_valid_88,"MRI showing a possible left-sided cervical spinal cord lesion or edema, with a possible small mass (arrow) and a possible left-sided cervical rib (arrowhead)."
ImageCLEFmedical_Caption_2026_valid_89,"MRI of the upper thorax demonstrating a right-sided mass (arrow) and a left-sided mass (arrowhead) suggestive of a possible lymph node or tumor."
ImageCLEFmedical_Caption_2026_valid_90,"MRI of the cervical spine showing a disc herniation."
ImageCLEFmedical_Caption_2026_valid_91,"B-scan of the eye, showing the optic nerve (ON) and the vitreous humor. There is a potential vitreous detachment indicated by the yellow arrow."
ImageCLEFmedical_Caption_2026_valid_92,"Axial CT image of the abdomen showing a mass in the stomach."
ImageCLEFmedical_Caption_2026_valid_93,"Lower extremity X-ray showing a significant fracture of the distal femur with extensive hardware fixation."
ImageCLEFmedical_Caption_2026_valid_94,"Axial MRI image of the left thigh, demonstrating a large soft tissue mass with a central cystic component. The mass appears hypointense on T1-weighted images and hyperintense on T2-weighted images."
ImageCLEFmedical_Caption_2026_valid_95,"MRI of the lumbar spine shows a large, heterogeneous, non-enhancing mass in the right psoas muscle."
ImageCLEFmedical_Caption_2026_valid_96,"There is a soft tissue mass in the left lower quadrant of the abdomen, as indicated by the white arrow."
ImageCLEFmedical_Caption_2026_valid_97,"Abdominal CT scan showing a well-defined, round, fat-containing mass in the left retroperitoneum (white arrow)."
ImageCLEFmedical_Caption_2026_valid_98,"Abdominal CT scan showing a left kidney with a small cyst (white arrow)."
ImageCLEFmedical_Caption_2026_valid_99,"CT scan of the abdomen showing a suspected small bowel obstruction with a possible bowel perforation."
ImageCLEFmedical_Caption_2026_valid_100,"Aortic dissection."
ImageCLEFmedical_Caption_2026_valid_101,"Abdominal CT scan showing a possible acute cholecystitis, indicated by the inflamed gallbladder (red arrow)."
ImageCLEFmedical_Caption_2026_valid_102,"CT scan of the chest showing bilateral pulmonary emphysema."
ImageCLEFmedical_Caption_2026_valid_103,"Axial CT image of the chest shows a large mass in the anterior mediastinum, likely a thymic tumor."
ImageCLEFmedical_Caption_2026_valid_104,"Chest X-ray showing bilateral pulmonary infiltrates, right greater than left, and possible right pleural effusion."
ImageCLEFmedical_Caption_2026_valid_105,"Abdomen X-ray showing free air under the diaphragm."
ImageCLEFmedical_Caption_2026_valid_106,"Computed tomography (CT) scan of the abdomen shows a prominent, dilated small bowel loop in the central abdomen, measuring approximately 8.0 cm in diameter. The bowel wall appears thickened."
ImageCLEFmedical_Caption_2026_valid_107,"Axial CT image of the chest. There is a mass in the right lung, approximately 4.5 cm in diameter. The mediastinum, heart, and major vessels are visible."
ImageCLEFmedical_Caption_2026_valid_108,"Chest CT image showing lung abnormalities and potential masses/nodules."
ImageCLEFmedical_Caption_2026_valid_109,"Abdominal CT showing a suspected small bowel mass with enhancement."
ImageCLEFmedical_Caption_2026_valid_110,"PET scan showing a hypermetabolic mass in the right lung."
ImageCLEFmedical_Caption_2026_valid_111,"Abdominal CT showing a hypodense lesion in the liver (arrow)."
ImageCLEFmedical_Caption_2026_valid_112,"A non-enhancing, heterogeneous mass is seen in the right submandibular space (white arrow)."
ImageCLEFmedical_Caption_2026_valid_113,"Axial CT image showing a large pericardial effusion (white arrow) with associated cardiac tamponade."
ImageCLEFmedical_Caption_2026_valid_114,"MRI image of the brain showing a lesion in the pons."
ImageCLEFmedical_Caption_2026_valid_115,"Brain MRI showing a lesion in the pons."
ImageCLEFmedical_Caption_2026_valid_116,"T1-weighted MRI of the brain showing hyperintense signal in the white matter, potentially indicative of a demyelinating disease."
ImageCLEFmedical_Caption_2026_valid_117,"Abdominal MRI showing a mass in the left kidney, indicated by red arrows."
ImageCLEFmedical_Caption_2026_valid_118,"Abdominal X-ray. The image shows a supine portable x-ray of the abdomen. The bowel loops are visible."
ImageCLEFmedical_Caption_2026_valid_119,"Ultrasound image of the pelvis showing a full bladder and a cervical canal."
ImageCLEFmedical_Caption_2026_valid_120,"Chest X-ray showing the trachea and right main bronchus."
ImageCLEFmedical_Caption_2026_valid_121,"Anterior-posterior chest X-ray showing a right internal jugular central venous catheter (IVC) with the tip in the upper superior vena cava (SVC) (white arrow). The catheter is likely in place for central venous access. There is also a possible right-sided pneumothorax (white dashed arrows)."
ImageCLEFmedical_Caption_2026_valid_122,"Chest X-ray showing a large mass in the right main bronchus, with associated atelectasis. The trachea is midline."
ImageCLEFmedical_Caption_2026_valid_123,"CT chest showing extensive pulmonary edema and possible pneumothorax."
ImageCLEFmedical_Caption_2026_valid_124,"Chest X-ray showing a pacemaker/ICD device."
ImageCLEFmedical_Caption_2026_valid_125,"Transesophageal echocardiogram showing a large left ventricular aneurysm (arrow) in the left ventricle."
ImageCLEFmedical_Caption_2026_valid_126,"Left kidney hematoma (black arrow)."
ImageCLEFmedical_Caption_2026_valid_127,"T1-weighted MRI of the brain."
ImageCLEFmedical_Caption_2026_valid_128,"Ultrasound of the abdomen showing a cystic lesion in the kidney."
ImageCLEFmedical_Caption_2026_valid_129,"Ultrasound showing a large cystic lesion in the left kidney, with a possible septation."
ImageCLEFmedical_Caption_2026_valid_130,"Ultrasound image of the uterus shows a cystic lesion, likely a functional cyst or potentially a small fibroid."
ImageCLEFmedical_Caption_2026_valid_131,"Hydronephrosis."
ImageCLEFmedical_Caption_2026_valid_132,"Ultrasound image of the abdomen showing multiple cystic lesions in the kidneys."
