"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","MRI scan depicting normal brain anatomy"
"ImageCLEFmedical_Caption_2026_valid_1","Follow up axial FLAIR MRI brain demonstrating interval resolution of the white matter signal abnormality"
"ImageCLEFmedical_Caption_2026_valid_2","Sagital T1-weighted MRI image of the lumbar spine demonstrating spinal canal narrowing from T1-T2."
"ImageCLEFmedical_Caption_2026_valid_3","Hip replacement status post explantation complicated by osteolysis"
"ImageCLEFmedical_Caption_2026_valid_4","Postoperative anteroposterior plain radiograph of the pelvis. The image shows an uncemented right THA with titanium femoral stem implant and ceramic-on-polyethylene bearing surfaces (arrows).THA:total hip arthroplasty"
"ImageCLEFmedical_Caption_2026_valid_5","Pelvis anteroposterior postreduction"
"ImageCLEFmedical_Caption_2026_valid_6","Postoperative X-Ray Showing Intact Fixation Following Left Shoulder Dislocation With Rockwood Type III Acromioclavicular (ACL) Distraction Using Single Proximally and Distally Placed Transverse Oblique Proximal and Distal Clavicular Screw Within Both Proximally and Distally Placed Oblique Clavicular Screw Within Both Proximally and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed Oblique Proximal and Distally Placed"
"ImageCLEFmedical_Caption_2026_valid_7","Follow-up radiograph 2 years postoperatively"
"ImageCLEFmedical_Caption_2026_valid_8","Recent X-ray image"
"ImageCLEFmedical_Caption_2026_valid_9","AP radiograph of pelvis showing a healed osteotomy 3 years following surgery."
"ImageCLEFmedical_Caption_2026_valid_10","Follow-up radiograph 2 years postoperatively"
"ImageCLEFmedical_Caption_2026_valid_11","Follow-up radiograph 2 years postoperatively"
"ImageCLEFmedical_Caption_2026_valid_12","Sagital section of a right knee (patient #2) after ACL reconstruction. The Insall Salvati index is 1.18 (ACL = anterior cruciate ligament)."
"ImageCLEFmedical_Caption_2026_valid_13","Sagital MRI showing trochlea cartilage overlapping patella cartilage. Proximal, middle and distal locations of trochlea cartilage overlapping patella cartilage location indicated. Caton-Deschamps index calculated on this image as follows: Distance between articular surface and inferior aspect of articular surface of patella divided by length of articular surface of patella. This index value calculated on this image was 0.36."
"ImageCLEFmedical_Caption_2026_valid_14","Fat suppressed T2 weighted coronal image showing hyperintense ovoid lesion suggestive of lipoma (thick arrow). No underlying fracture or soft tissue abnormality appreciated"
"ImageCLEFmedical_Caption_2026_valid_15","Transversal CT scan demonstrating a hydatid cyst adherent to the diaphragm."
"ImageCLEFmedical_Caption_2026_valid_16","CT scan of the skull base. On cross-section, the extensive dislocation of the bones of the skull base is visible. Thin arrows: disruption of sutures; middle arrow: dislocated right petrous bone; thick arrow: dislocated parts of vertebral bodies."
"ImageCLEFmedical_Caption_2026_valid_17","Axial computed tomography image showing a pneumoperitoneum"
"ImageCLEFmedical_Caption_2026_valid_18","Gallbladder ultrasound showing cholecystitis"
"ImageCLEFmedical_Caption_2026_valid_19","Axial computed tomography scan displaying abscess formation at the site of previous hernia repair"
"ImageCLEFmedical_Caption_2026_valid_20","Chest radiograph taken at 3 months postdischarge showing resolution of previously noted haziness"
"ImageCLEFmedical_Caption_2026_valid_21","Transversal section showing a radiopacity (black arrow) in the deep lobe of the right parotid gland."
"ImageCLEFmedical_Caption_2026_valid_22","Transabdominal ultrasonography at the 22nd week of gestation demonstrates fetal cardiac activity within the stomach."
"ImageCLEFmedical_Caption_2026_valid_23","Measurement of cervical sagittal parameters. (1)Cervical curvature: Jackson physiological stress curve;two lines are drawn parallel to the posterior edge of C2 and C7;the angle between the two represents the curvature of the cervical spine(a). (2)C2–C7 Cobb's angle:the angle between C2 and C7 lower end plate tangent(b). (3)C2–C7 sagittal vertical axis(SVA):the horizontal distance between the back angel of C7 upper end plate and the vertical lineof the geometric center of C2 vertebral body(d)."
"ImageCLEFmedical_Caption_2026_valid_24","Pre-operative radiograph"
"ImageCLEFmedical_Caption_2026_valid_25","Coronal T1-weighted magnetic Resonance imaging scan. Contrast agent was injected with fat suppression mode on. Peri-bulbar inflammation is more evident at the left lacrimal gland (red arrow)."
"ImageCLEFmedical_Caption_2026_valid_26","Ultrasound B scan scan of patients orbits showing highly reflective oval lesions at the optic disc. The lesions represent calcification in optic disc drusen."
"ImageCLEFmedical_Caption_2026_valid_27","Solid lesion within cystic lesion"
"ImageCLEFmedical_Caption_2026_valid_28","Axial computed tomography scan demonstrating invagination of small bowel."
"ImageCLEFmedical_Caption_2026_valid_29","Color flow Doppler evaluation of the uterus demonstrating increased blood flow at left uterine artery region (blue box)."
"ImageCLEFmedical_Caption_2026_valid_30","Chest radiograph demonstrating opacification in the left lung field"
"ImageCLEFmedical_Caption_2026_valid_31","PET/CT scan demonstrated metastatic disease"
"ImageCLEFmedical_Caption_2026_valid_32","Resolution of infiltrates"
"ImageCLEFmedical_Caption_2026_valid_33","Severe mitral regurgitation with associated left atrial dilation viewed on parasternal short axis view of transthoracic echocardiogram from a patient with systolic heart failure"
"ImageCLEFmedical_Caption_2026_valid_34","Computed tomographic scan of the chest without contrast demonstrating a filling defect in the left pulmonary artery."
"ImageCLEFmedical_Caption_2026_valid_35","Brain CT revealing a hypodense lesion"
"ImageCLEFmedical_Caption_2026_valid_36","Mass lesion involving the right cerebellar hemisphere"
"ImageCLEFmedical_Caption_2026_valid_37","Chest X‐rays obtained during hospitalization reveal multifocal consolidations"
"ImageCLEFmedical_Caption_2026_valid_38","Transverse B-mode ultrasound image of the ocular globe showing the optic nerve (white arrow), ophthalmic artery (yellow arrow), ophthalmic vein (blue arrow), and hypoplasia of the optic nerve sheath (red arrow)."
"ImageCLEFmedical_Caption_2026_valid_39","The ultrasound showed a cystic lesion in the vaginal cavity."
