ID,Caption
ImageCLEFmedical_Caption_2026_valid_0,"MRI scan of a baby's head, showing the brain and spinal cord."
ImageCLEFmedical_Caption_2026_valid_1,"Brain MRI, axial view, showing the cerebral ventricles."
ImageCLEFmedical_Caption_2026_valid_2,"Sagittal view of the lumbar spine, showing the vertebral bodies and intervertebral discs. The arrow indicates a potential disc herniation at L2-L3."
ImageCLEFmedical_Caption_2026_valid_3,X-ray of a femur with a total hip replacement.
ImageCLEFmedical_Caption_2026_valid_4,X-ray of the pelvis. Arrows point to total hip arthroplasties (THA) on both sides.
ImageCLEFmedical_Caption_2026_valid_5,X-ray of the hip bone.
ImageCLEFmedical_Caption_2026_valid_6,Shoulder X-ray showing screws in the humeral head.
ImageCLEFmedical_Caption_2026_valid_7,"X-ray of a pelvis and both hips, showing a hip replacement."
ImageCLEFmedical_Caption_2026_valid_8,"X-ray of the hip region, showing a total hip replacement on the right side."
ImageCLEFmedical_Caption_2026_valid_9,"X-ray of the hip, showing hardware fixation of the femoral neck fracture."
ImageCLEFmedical_Caption_2026_valid_10,"X-ray of the hip, showing a fracture with hardware in place."
ImageCLEFmedical_Caption_2026_valid_11,"X-ray of a pelvis with evidence of a fracture, likely with fixation hardware visible."
ImageCLEFmedical_Caption_2026_valid_12,An MRI image of the right knee. The image shows a cross-sectional view of the knee joint. There is a clear image of the femur and tibia bones. The measurements of the tibia (B: 9.4mm) and femur (A: 13.96mm) are labeled. There is an area of abnormal signal intensity.
ImageCLEFmedical_Caption_2026_valid_13,"Image shows an axial view of the knee joint. The left knee is depicted, with the femoral condyles appearing in the upper portion of the image. The tibial plateau is visible in the center. The measurements of the medial, middle, and lateral compartments are shown."
ImageCLEFmedical_Caption_2026_valid_14,MRI of the left knee showing a soft tissue mass in the medial aspect of the knee.
ImageCLEFmedical_Caption_2026_valid_15,"There is a mass in the chest cavity, indicated by the red arrow."
ImageCLEFmedical_Caption_2026_valid_16,A CT scan image of the chest shows a mass in the left lung.
ImageCLEFmedical_Caption_2026_valid_17,"A large, circular lesion is visible in the center of the image, appearing as a hypodense area within the bony structure of the skull."
ImageCLEFmedical_Caption_2026_valid_18,Gallbladder stones
ImageCLEFmedical_Caption_2026_valid_19,CT abdomen showing a possible small bowel obstruction.
ImageCLEFmedical_Caption_2026_valid_20,"Chest X-ray showing the ribs, lungs, and heart. A small yellow spot is visible in the right lung."
ImageCLEFmedical_Caption_2026_valid_21,"Intraoral radiograph of the mandible and maxilla, showing a radiopaque lesion in the right lower canine."
ImageCLEFmedical_Caption_2026_valid_22,Ultrasound image of a fetus in the uterus.
ImageCLEFmedical_Caption_2026_valid_23,"Neck X-ray, cervical spine, X-ray, cervical vertebrae, cervical spine alignment, axial view, medical image."
ImageCLEFmedical_Caption_2026_valid_24,Dental X-ray of a tooth.
ImageCLEFmedical_Caption_2026_valid_25,"Brain MRI, showing the orbits and possibly a lesion."
ImageCLEFmedical_Caption_2026_valid_26,Possible presence of a mass or abnormality within the heart.
ImageCLEFmedical_Caption_2026_valid_27,Mass in the left side of the neck.
