"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","MRI of brain revealing mild hydrocephalus in a 7-month-old infant"
"ImageCLEFmedical_Caption_2026_valid_1","MRI scan showing symmetric increased signal intensity in the occipital lobes"
"ImageCLEFmedical_Caption_2026_valid_2","Magnetic resonance imaging of the lumbar spine showing epidural hematoma (arrow)."
"ImageCLEFmedical_Caption_2026_valid_3","Post-operative anteroposterior radiograph of the pelvis after total hip replacement."
"ImageCLEFmedical_Caption_2026_valid_4","Postoperative anteroposterior plain radiograph of the pelvis. The image shows an uncemented right THA with titanium femoral stem implant and ceramic-on-polyethylene bearing surfaces (arrows).AP: anteroposterior; THA: total hip arthroplasty"
"ImageCLEFmedical_Caption_2026_valid_5","AP radiograph of pelvis following closed reduction."
"ImageCLEFmedical_Caption_2026_valid_6","Intraoperative anteroposterior hip radiograph of the right hip."
"ImageCLEFmedical_Caption_2026_valid_7","Left hip fracture.AP: Anterior-posterior."
"ImageCLEFmedical_Caption_2026_valid_8","Postoperative X-ray after revision with cemented dual mobility socket."
"ImageCLEFmedical_Caption_2026_valid_9","Radiography of the hip joints."
"ImageCLEFmedical_Caption_2026_valid_10","Postoperative radiograph at 1 year follow-up."
"ImageCLEFmedical_Caption_2026_valid_11","Anteroposterior radiograph of the pelvis showing the left femoral neck fracture treated by intramedullary nailing"
"ImageCLEFmedical_Caption_2026_valid_12","A 23-year-old female patient with a long-standing knee pain which was worse with exercise. Magnetic resonance imaging (MRI) showed anterior cruciate ligament (ACL) tear and patellar fracture, ACL reconstruction was carried out."
"ImageCLEFmedical_Caption_2026_valid_13","Sagittal MRI of the right knee of the patient."
"ImageCLEFmedical_Caption_2026_valid_14","Axial PDFS images show a hyperintense ovoid intra-articular mass (arrow) adjacent to the PCL. PDFS: proton density fat suppression"
"ImageCLEFmedical_Caption_2026_valid_15","Contrast-enhanced CT abdomen. The arrow shows air (pneumoperitoneum) in the perihepatic space adjacent to the liver."
"ImageCLEFmedical_Caption_2026_valid_16","CT scans, axial planes."
"ImageCLEFmedical_Caption_2026_valid_17","CT scan of the skull base. On cross-sections, the extensive dislocation of the bones of the skull base is visible. Thin arrows: disruption of sutures; middle arrow: dislocated right petrous bone; thick arrow: dislocated parts of vertebral bodies."
"ImageCLEFmedical_Caption_2026_valid_18","Gallbladder ultrasound showing multiple calculi (arrow)"
"ImageCLEFmedical_Caption_2026_valid_19","Computed tomography of the abdomen with intravenous contrast and axial view showing an enlarged appendix (white arrow), with a diameter of 2 cm, containing fluid and a few particles of air in the lumen, with periappendiceal thickening (25 mm)."
"ImageCLEFmedical_Caption_2026_valid_20","Chest X-Ray showing a small left-sided pleural effusion"
"ImageCLEFmedical_Caption_2026_valid_21","(a) Radiopacity (arrow) may be located in the deep lobe of the parotid gland, the uncinate processs of the submandibular gland or in the palatine tonsil."
"ImageCLEFmedical_Caption_2026_valid_22","Ultrasound evaluation with color Doppler, showing a mass protruding from the mouth with a branching pattern of the feeder vessels."
"ImageCLEFmedical_Caption_2026_valid_23","Cervical sagittal parameters. (1) Cervical curvature, Jackson physiological stress curve: two lines are drawn parallel to the posterior edge of C2 and C7; the angle between the two represents the curvature of the cervical spine (a). (2) C2–C7 Cobb's angle, the angle between C2 and C7 lower end plate tangent (b). (3) C2–C7 sagittal vertical axis (SVA), the horizontal distance between the back angel of C7 upper end plate and the vertical line of the geometric center of C2 vertebral body (d)."
"ImageCLEFmedical_Caption_2026_valid_24","Intra-oral Radiograph"
"ImageCLEFmedical_Caption_2026_valid_25","Coronal T1-weighted magnetic resonance imaging scan of the brain and orbit. Contrast agent was injected with fat suppression mode on. Peri-bulbar inflammation is more evident at the left lacrimal gland (red arrow)."
"ImageCLEFmedical_Caption_2026_valid_26","B-ultrasonography shows highly reflective oval lesions at the left optic disc (black arrow), which represent the calcification in optic disc drusen."
"ImageCLEFmedical_Caption_2026_valid_27","Abdominal ultrasonography shows a well-defined, circular, hypoechoic mass in the head of the pancreas (arrow)."
"ImageCLEFmedical_Caption_2026_valid_28","A CT image showing invagination of the ileum."
"ImageCLEFmedical_Caption_2026_valid_29","Doppler control demonstrating the closure of the PA."
"ImageCLEFmedical_Caption_2026_valid_30","Chest radiograph of a patient with COVID-19 showing left upper lobe cavitary infiltrate."
"ImageCLEFmedical_Caption_2026_valid_31","Coronal view of the 7.3-cm centrally necrotic retroperitoneal mass is visualized along with hypermetabolic left supraclavicular, para-aortic, and mesenteric lymph nodes."
"ImageCLEFmedical_Caption_2026_valid_32","Chest X-ray showing diffuse infiltrates and perihilar ground glass opacities."
"ImageCLEFmedical_Caption_2026_valid_33","Aortic regurgitation (red arrow) and mitral regurgitation (blue arrow)."
"ImageCLEFmedical_Caption_2026_valid_34","Computed tomography of the chest from 2013 with right upper lobe nodule"
"ImageCLEFmedical_Caption_2026_valid_35","Computed tomography (CT) brain showing subtle hyperattenuation in the right frontal lobe (red circle)"
"ImageCLEFmedical_Caption_2026_valid_36","CT head showing the right cerebellar infarct three months after the incident"
"ImageCLEFmedical_Caption_2026_valid_37","Chest X‐ray of a 5‐year‐old girl presenting with fever and cough for 3 days. Diffuse fine granular nodular opacities."
"ImageCLEFmedical_Caption_2026_valid_38","Ultrasonography findings that suggest acute cholecystitis (echogenic membranes inside gallbladder and wall thickening >3 mm)."
"ImageCLEFmedical_Caption_2026_valid_39","Hyaline-appearing echogenic content."
"ImageCLEFmedical_Caption_2026_valid_40","The lesion has mixed signal intensity on T2-weighted sequence, consistent with mucinous cystic changes. The lesion appears to be separate from the parotid gland."
"ImageCLEFmedical_Caption_2026_valid_41","CT scan of the neck showing enlarged left parotid gland, with soft tissue swelling and inflammation. CT: computed tomography"
"ImageCLEFmedical_Caption_2026_valid_42","Abdominal X-ray obtained in the supine position; no specific finding was observed."
"ImageCLEFmedical_Caption_2026_valid_43","ERC of the right intrahepatic bile duct revealed dilatation and multiple large stones. The red arrow shows multiple large bile duct stones in the right intrahepatic bile duct."
"ImageCLEFmedical_Caption_2026_valid_44","CT abdomen showing lower lung fields with bibasilar ground-glass opacities; right (yellow arrow) greater than left (red arrow) with small bilateral pleural effusions versus atelectasis."
"ImageCLEFmedical_Caption_2026_valid_45","CT abdomen demonstrating a large amount of air in the wall of the jejunum and the ascending colon."
"ImageCLEFmedical_Caption_2026_valid_46","CT scan with PO contrast demonstrating dilated loops of small bowel with wall thickening in the jejunojejunal anastomosis."
"ImageCLEFmedical_Caption_2026_valid_47","A skyline view of a case with a valgus knee. The alpha angle is defined as the angle between the femoral shaft axis and the line connecting the anterior tibial tubercle and the middle of the lateral femoral condyle. The beta angle is defined as the angle between the femoral shaft axis and the line connecting the midpoint of the lateral and medial tibial plateau and the posterior medial tibial plateau."
"ImageCLEFmedical_Caption_2026_valid_48","Plain film of the abdomen (kidney, ureter, and bladder film) before removal of the ureteral stent."
"ImageCLEFmedical_Caption_2026_valid_49","Axial CT chest showing right upper lobe mass with adjacent conglomerate nodules."
"ImageCLEFmedical_Caption_2026_valid_50","Chest X-ray of the patient after right lower lobectomy with no consolidations"
"ImageCLEFmedical_Caption_2026_valid_51","Chest X-ray showing a diffuse coarsened interstitial pattern and a right upper lobe density (orange arrow)"
"ImageCLEFmedical_Caption_2026_valid_52","Right lower lobe pulmonary embolism."
"ImageCLEFmedical_Caption_2026_valid_53","Transthoracic echocardiogram showing severe mitral regurgitation."
"ImageCLEFmedical_Caption_2026_valid_54","Chest X-ray: increased pulmonary vasculature and slightly increased cardiac area, with middle arc rectification."
"ImageCLEFmedical_Caption_2026_valid_55","Transthoracic echocardiography (TTE) image 2."
"ImageCLEFmedical_Caption_2026_valid_56","Sagittal T2W MRI of a spindle cell leiomyosarcoma demonstrating aggressive features such as a heterogenous T2W intrauterine lesion, irregular border extending through the uterine serosa (white arrows) and additional separate extra uterine peritoneal deposit (*)."
"ImageCLEFmedical_Caption_2026_valid_57","Axial T2-weighted MRI image (arrowheads) showing the mass arising from the uterine wall."
"ImageCLEFmedical_Caption_2026_valid_58","Intraoperative lateral skull X-ray taken after the electrode was advanced. The electrode resumed a similar position to Figure 2."
"ImageCLEFmedical_Caption_2026_valid_59","Lateral skull radiograph of specimen HH1 showing a flattened skull with a 'copper beaten' appearance, a small occipital crest (blue arrow), and a large cervical syrinx (yellow arrow) with a transverse section at the level of C2 of 8 mm in maximal width."
"ImageCLEFmedical_Caption_2026_valid_60","Preoperative radiograph after 3 weeks of antibiotics. The arrow indicates the left lateral margin of the laryngeal cyst."
"ImageCLEFmedical_Caption_2026_valid_61","Mandibular incisor teeth. Bulbous enlargement of the intra-alveolar part of the teeth (red stars), widening of periodontal ligament space (red arrows), lytic appearance of roots (resorption), disruption of lamina dura (green stars)."
"ImageCLEFmedical_Caption_2026_valid_62","Case 1—intraoral radiograph of maxillary incisor teeth. Bulbous enlargement of the intra-alveolar part of the teeth, widening of periodontal ligament space (red arrows)."
"ImageCLEFmedical_Caption_2026_valid_63","Laterolateral head radiography of a maned wolf showing an unerupted right mandibular canine tooth (the blue arrow) and a right maxillary canine tooth (the red arrow)."
"ImageCLEFmedical_Caption_2026_valid_64","Laterolateral (oblique) neck radiograph of a dog showing the bilateral intraosseous wire fixation of the thyrohyoid bone fracture (white arrows), feeding tube, and tracheostomy tube (F, T)."
"ImageCLEFmedical_Caption_2026_valid_65","Laterolateral (oblique) head radiography of a maned wolf showing two unerupted maxillary canine teeth (the red arrow) and an unerupted right mandibular canine tooth (the blue arrow)."
"ImageCLEFmedical_Caption_2026_valid_66","Axial CT-thorax image of a patient with mediastinal mass (red arrow) with bleeding into the right pleural space (yellow arrow) resulting in hemothorax."
"ImageCLEFmedical_Caption_2026_valid_67","Lateral chest radiography showing opacity in the lower lobes posteriorly (arrow)."
"ImageCLEFmedical_Caption_2026_valid_68","Axial T2‐weighted fast spin echo (FLAIR) sequence at the level of the interthalmic adhesion in a 5‐year‐old male FSEC (same case as in Figure 1.4). The arrows indicate the hyperintense signal in the internal capsule."
"ImageCLEFmedical_Caption_2026_valid_69","Contrast medium-enhanced axial CT scan of the chest (mediastinal window) at the pulmonary artery bifurcation level, showing the left pleural effusion (asterisk) as well as the pre-vertebral collections (arrows)."
"ImageCLEFmedical_Caption_2026_valid_70","Chest radiograph showing multifocal pneumonia."
"ImageCLEFmedical_Caption_2026_valid_71","Chest CT scan, 1 year prior to presentation, revealing left lower lobe mass, 4 cm in dimension"
"ImageCLEFmedical_Caption_2026_valid_72","CT Abdomen coronal view depicting large bladder stone at level of bladder neck"
"ImageCLEFmedical_Caption_2026_valid_73","Retrograde pyelogram in 2020."
"ImageCLEFmedical_Caption_2026_valid_74","Axial CT imaging of the lower abdomen without contrast. Axial cut image of the lower abdomen demonstrates the presence of a 1 cm stone with a protruding cecal pouch, likely representing an appendice stump. There is minimal wall thickening of the cecal wall."
"ImageCLEFmedical_Caption_2026_valid_75","Abdominal ultrasound revealed a large amount of free intraperitoneal fluid (yellow arrow) and a normal heart in the fetal chest (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_76","CT angiography shows the pseudoaneurysm (arrow) and AV fistula lateral of the right knee."
"ImageCLEFmedical_Caption_2026_valid_77","Post-surgery. T9-T12 posterior spinal fusion without hardware complication or dynamic instability."
"ImageCLEFmedical_Caption_2026_valid_78","Upper gastrointestinal series after stent and clips placement showing gastric leak size."
"ImageCLEFmedical_Caption_2026_valid_79","CT scan image of our patient pre‐extraction of VP shunt. A, suprascapular vein; B, brachiocephalic vein; C, VP shunt"
"ImageCLEFmedical_Caption_2026_valid_80","Abdominal x-ray showing the same stone as in the right upper ureter and renal pelvis."
"ImageCLEFmedical_Caption_2026_valid_81","Coronal view CT scan abdomen at the level of renal hilum showing a large hematoma extending from the spleen into the left flank and scrotum."
"ImageCLEFmedical_Caption_2026_valid_82","CT showing retroperitoneal hematoma centered about the right anterior right pararenal space measuring up to 10.4 × 7 × 9.5 cm."
"ImageCLEFmedical_Caption_2026_valid_83","Chest CT scan without contrast identifying a lobulated mass (arrow) with partially spiculated margins medially, estimated at 8.4 × 9.5 × 9.7 cm in its greatest dimension. It demonstrates heterogeneous enhancement with peripheral neovascularization. It has invaded through the upper left chest wall with destruction of the left second to fourth ribs. It is abutting the superior aspect of the fifth rib."
"ImageCLEFmedical_Caption_2026_valid_84","Ultrasound. A 47‐mm irregular hypoechoic mass with heterogeneous internal echo (arrowhead) and blood flow in the mass (arrow)"
"ImageCLEFmedical_Caption_2026_valid_85","Contrast-enhanced computed tomography of the neck in the coronal section showing the dilated left laryngeal ventricle (arrow) consistent with the sail sign."
"ImageCLEFmedical_Caption_2026_valid_86","CT of the neck with contrast showing a nodule in the right thyroid lobe."
"ImageCLEFmedical_Caption_2026_valid_87","Ultrasound of benign nodule in a 40-year-old woman shows regular, hypoechoic, well-defined, oval nodule with internal punctiform echogenic foci (arrowheads) corresponding to microcalcifications (arrows). The nodule was benign on pathology."
"ImageCLEFmedical_Caption_2026_valid_88","Dynamic narrowing of the right subclavian artery (white arrow) is demonstrated with arms in the abducted/upward positions. The diameter of the right subclavian artery narrows down to 4.2 mm while the left artery diameter remains constant at 5.7 mm."
"ImageCLEFmedical_Caption_2026_valid_89","MRI of the brachial plexus. Maximum intensity projection imaging of short TI inversion recovery (STIR) (inversion time/repetition time/echo time = 160/2,838/69 ms) indicated enlargement and hyperintensity of bilateral brachial plexuses, predominantly on the left side (arrow: left side, arrowhead: right side)"
"ImageCLEFmedical_Caption_2026_valid_90","T2 weighted sagittal images of the cervical spine showing a well-defined cystic structure (arrow) in the left paraspinal location at C7-D1 level."
"ImageCLEFmedical_Caption_2026_valid_91","B-scan ultrasonography of the patient's left eye at presentation, revealing a small, flat, peripherical choroidal detachment (arrow)"
"ImageCLEFmedical_Caption_2026_valid_92","Abdominal CT reveals edematous pancreas (white arrow) and a lesser sac fluid collection."
"ImageCLEFmedical_Caption_2026_valid_93","Post-operative X-ray at last follow-up (2 years)."
"ImageCLEFmedical_Caption_2026_valid_94","T1W coronal section showing right femur shaft fracture."
"ImageCLEFmedical_Caption_2026_valid_95","MRI at the L4L5 facet level at three months after surgery.Axial T2-weighted MRI shows no hematoma recurrence."
"ImageCLEFmedical_Caption_2026_valid_96","Axial CT image demonstrating the pseudoaneurysm."
"ImageCLEFmedical_Caption_2026_valid_97","Abdominal CT shows small intestine intussusceptions secondary to a metastasizing malignant melanoma."
"ImageCLEFmedical_Caption_2026_valid_98","CT angiogram of abdomen demonstrating a focus of thickened and friable intestinal wall in the proximal transverse colon with minimal fatty stranding, indicating ischemia or inflammation."
"ImageCLEFmedical_Caption_2026_valid_99","Computed tomography scan showing the tip of the appendix (arrow) protruding through the Spigelian hernia."
