ID,Caption
ImageCLEFmedical_Caption_2026_valid_0,Brain MRI showing normal and progressive myelination but mild loss of volume in the corpus callosum.
ImageCLEFmedical_Caption_2026_valid_1,Follow-up brain MRI with FLAIR demonstrating symmetric periventricular white matter signal abnormality and symmetric occipital lobe T2 signal abnormality.
ImageCLEFmedical_Caption_2026_valid_2,Intense pain in the lower extremities and lower back pain.
ImageCLEFmedical_Caption_2026_valid_3,Pelvis AP radiograph showing periosteal reaction at the left proximal femur (red arrow) and loosening of the femoral component (green arrow).AP: anteroposterior
ImageCLEFmedical_Caption_2026_valid_4,AP pelvis view immediately postoperatively. Right hip hemiarthroplasty and left femur intramedullary nailing
ImageCLEFmedical_Caption_2026_valid_5,Posteroanterior radiograph of left hip.
ImageCLEFmedical_Caption_2026_valid_6,Intraoperative lateral picture of the right shoulder post-operative.
ImageCLEFmedical_Caption_2026_valid_7,Pelvis with both hips AP
ImageCLEFmedical_Caption_2026_valid_8,Plain radiograph after revision with cemented dual mobility socket
ImageCLEFmedical_Caption_2026_valid_9,Follow-up radiograph at 2 years showing the joint arthritic changes and a large subchondral cyst
ImageCLEFmedical_Caption_2026_valid_10,Figure 2: X-ray of the hip at 1 year follow up.
ImageCLEFmedical_Caption_2026_valid_11,"X-rays of the left hip at presentation, one year follow up, and two years follow up."
ImageCLEFmedical_Caption_2026_valid_12,A. Anterior cruciate ligament (ACD) and B. Posterior cruciate ligament (PCL)
ImageCLEFmedical_Caption_2026_valid_13,MRI sagittal cut. Measurements of quadriceps tendon (Q T) and articular overlap ( PTI )
ImageCLEFmedical_Caption_2026_valid_14,Sagittal MRI shows intra-articular lipoma (arrow)
ImageCLEFmedical_Caption_2026_valid_15,CT of the patient with a stomach filled with air (arrow)
ImageCLEFmedical_Caption_2026_valid_16,"CT scan of the skull base. On cross-sections, the extensive dislocation of the bones of the skull base is visible."
ImageCLEFmedical_Caption_2026_valid_17,Computed tomography scan of the skull base (axial section) with extensive disjunction between the bones of the skull base and brain tissue (red arrow).
ImageCLEFmedical_Caption_2026_valid_18,Ultrasound of the abdomen showing a hypoechoic mass in the right kidney with a heterogeneous echogenicity (arrow)
ImageCLEFmedical_Caption_2026_valid_19,Axial contrast-enhanced CT showing of the abdomen showing dilated appendix associated with appendiceal wall thickening in favor of acute appendicitis and the presence of a linear spontaneously hyperdense image of 3 cm in length (white arrow)
ImageCLEFmedical_Caption_2026_valid_20,Postoperative chest radiograph showing small pleural effusion and complete resolution of the initial haziness seen on the initial trauma day chest radiograph.
ImageCLEFmedical_Caption_2026_valid_21,Preoperative radiograph.
ImageCLEFmedical_Caption_2026_valid_22,Color Doppler shows retrograde flow in the pulmonary artery with pulmonary insufficiency
ImageCLEFmedical_Caption_2026_valid_23,"Cervical alignment parameters. (a–b) Oc–C1 angle (a), (b–c) C1–2 angle (b), (d–e) C2–7 angles (d), and (f) C2–7 sagittal vertical axis (SVA) (e)."
ImageCLEFmedical_Caption_2026_valid_24,Preoperative radiograph of the tooth 11.
ImageCLEFmedical_Caption_2026_valid_25,Coronal T1-weighted MRI. Coronal T1-weighted MRI post-contrast showing a mild right superior rectus muscle MALToma.
ImageCLEFmedical_Caption_2026_valid_26,Ultrasound in a patient with a retinal detachment in the right eye.
ImageCLEFmedical_Caption_2026_valid_27,"Abdominal ultrasonography shows a well-defined, circular, hypoechoic mass in the head of the pancreas (arrow)."
ImageCLEFmedical_Caption_2026_valid_28,"CT scan of abdomen showing a gallstone in the small bowel with no signs of obstruction, the bowel wall showing proximal edema to the gallstone"
ImageCLEFmedical_Caption_2026_valid_29,Doppler control demonstrating the closure of the PA
ImageCLEFmedical_Caption_2026_valid_30,Chest radiograph at presentation.Chest radiograph at presentation
ImageCLEFmedical_Caption_2026_valid_31,Postoperative F-18fluorodeoxyglucose positron emission tomography-computed tomography scan of the abdomen and pelvis showing no metastases.
ImageCLEFmedical_Caption_2026_valid_32,Chest X-ray.
ImageCLEFmedical_Caption_2026_valid_33,Transthoracic echocardiogram showing severe pulmonic valve regurgitation and fistula between aortic sinus and the right ventricular outflow tract (RVOT).
ImageCLEFmedical_Caption_2026_valid_34,Computed tomography of chest without contrast depicting a clear left pulmonary artery filling defect.
ImageCLEFmedical_Caption_2026_valid_35,CT head without contrast. Axial view showing a 2.5 cm right frontal lobe hematoma (arrow)
ImageCLEFmedical_Caption_2026_valid_36,CT head showing a right cerebellar infarct.
ImageCLEFmedical_Caption_2026_valid_37,"Chest X‐ray from Case 5. On days 25 after the onset of disease, the lesions of both lung were resolved"
ImageCLEFmedical_Caption_2026_valid_38,Ultrasound findings.
ImageCLEFmedical_Caption_2026_valid_39,"Transvaginal ultrasound in a 25-year-old woman.Notes: This simple cyst measuring 64 mm by 42 mm was seen on transvaginal ultrasound in a 25-year-old woman complaining of lower abdominal pain. She was followed for several months with cyst persistence and therefore underwent laparoscopic cystectomy. On laparoscopy, a smooth walled cyst containing clear citrine fluid was seen. Pathology revealed a benign cystadenoma."
ImageCLEFmedical_Caption_2026_valid_40,Axial T1 image (black arrow) showing the lesion with an intermediate signal intensity (white arrow)
ImageCLEFmedical_Caption_2026_valid_41,CT scan showing a left parotid gland lesion.
ImageCLEFmedical_Caption_2026_valid_42,Plain abdominal radiograph in both the erect and decubitus position obtained 4 days after foreign body removal showed the presence of a large foreign body in the right iliopsoas muscle.
ImageCLEFmedical_Caption_2026_valid_43,ERCP of the right intrahepatic bile duct revealed dilatation and multiple large stones. The red arrow shows multiple large bile duct stones in the right intrahepatic bile duct.
ImageCLEFmedical_Caption_2026_valid_44,CT scan: CT abdomen showing lower lung fields with bibasilar ground-glass opacities; right (yellow arrow) greater than left (red arrow) with small bilateral pleural effusions versus atelectasis
ImageCLEFmedical_Caption_2026_valid_45,CT abdomen showing caecal wall thickening
ImageCLEFmedical_Caption_2026_valid_46,Coronal view with PO and IV contrast showing dilated loops of small bowel with wall thickening and pneumatosis.
